fault_id,target_clause,mode,oracle,seeds,detected_seeds,detection_rate,median_cases_to_counterexample,median_shrinks
JSEP-M01,I1,synchronize,O0,10,0,0,,
JSEP-M01,I1,synchronize,O1,10,0,0,,
JSEP-M01,I1,synchronize,O1K,10,10,1,1,28
JSEP-M01,I1,synchronize,O2,10,10,1,1,28
JSEP-M02,I1,synchronize,O0,10,0,0,,
JSEP-M02,I1,synchronize,O1,10,10,1,1,28
JSEP-M02,I1,synchronize,O1K,10,10,1,1,28
JSEP-M02,I1,synchronize,O2,10,10,1,1,28
JSEP-M07,I2,synchronize,O0,10,0,0,,
JSEP-M07,I2,synchronize,O1,10,0,0,,
JSEP-M07,I2,synchronize,O1K,10,0,0,,
JSEP-M07,I2,synchronize,O2,10,10,1,1,28
JSEP-M09,I2,synchronize,O0,10,0,0,,
JSEP-M09,I2,synchronize,O1,10,0,0,,
JSEP-M09,I2,synchronize,O1K,10,0,0,,
JSEP-M09,I2,synchronize,O2,10,10,1,1,28
JSEP-M13,I3,synchronize,O0,10,10,1,1,28
JSEP-M13,I3,synchronize,O1,10,10,1,1,28
JSEP-M13,I3,synchronize,O1K,10,10,1,1,28
JSEP-M13,I3,synchronize,O2,10,10,1,1,28
JSEP-M14,I3,replace,O0,10,10,1,1,28
JSEP-M14,I3,replace,O1,10,10,1,1,28
JSEP-M14,I3,replace,O1K,10,10,1,1,28
JSEP-M14,I3,replace,O2,10,10,1,1,28
JSEP-M15,I3,synchronize,O0,10,10,1,1,28
JSEP-M15,I3,synchronize,O1,10,10,1,1,28
JSEP-M15,I3,synchronize,O1K,10,10,1,1,28
JSEP-M15,I3,synchronize,O2,10,10,1,1,28
JSEP-M16,I3,synchronize,O0,10,10,1,1,28
JSEP-M16,I3,synchronize,O1,10,10,1,1,28
JSEP-M16,I3,synchronize,O1K,10,10,1,1,28
JSEP-M16,I3,synchronize,O2,10,10,1,1,28
JSEP-M18,I3,synchronize,O0,10,0,0,,
JSEP-M18,I3,synchronize,O1,10,0,0,,
JSEP-M18,I3,synchronize,O1K,10,0,0,,
JSEP-M18,I3,synchronize,O2,10,10,1,1,28
JSEP-M19,I4,synchronize,O0,10,0,0,,
JSEP-M19,I4,synchronize,O1,10,0,0,,
JSEP-M19,I4,synchronize,O1K,10,0,0,,
JSEP-M19,I4,synchronize,O2,10,10,1,1,28
JSEP-M20,I4,synchronize,O0,10,10,1,1,28
JSEP-M20,I4,synchronize,O1,10,10,1,1,28
JSEP-M20,I4,synchronize,O1K,10,10,1,1,28
JSEP-M20,I4,synchronize,O2,10,10,1,1,28
