fault_id,origin,target_clause,mode,retained,exclusion_reason,correct_o2_pass,faulty_o0_detected,faulty_o1_detected,faulty_o1k_detected,faulty_o2_detected,o2_unique_over_o1,o2_unique_over_o1k,target_clause_detected,first_failed_assertion,failed_assertions
JSEP-M01,seeded-fault,I1,synchronize,true,,true,false,false,true,true,true,false,true,I1_MISSING_DESTINATION_IDENTITY,I1_MISSING_DESTINATION_IDENTITY|I1_UNEXPECTED_DESTINATION_IDENTITY|I2_CONTINUITY_TARGET_MISSING
JSEP-M02,seeded-fault,I1,synchronize,true,,true,false,true,true,true,false,false,true,I1_MISSING_DESTINATION_IDENTITY,I1_MISSING_DESTINATION_IDENTITY
JSEP-M03,seeded-fault,I1,synchronize,true,,true,false,true,true,true,false,false,true,I1_UNEXPECTED_DESTINATION_IDENTITY,I1_UNEXPECTED_DESTINATION_IDENTITY
JSEP-M04,seeded-fault,I1,synchronize,true,,true,false,true,true,true,false,false,true,I1_DUPLICATE_DESTINATION_IDENTITY,I1_DUPLICATE_DESTINATION_IDENTITY
JSEP-M05,seeded-fault,I1,synchronize,true,,true,false,false,false,true,true,true,true,I1_DUPLICATE_DESTINATION_INSTANCE,I1_DUPLICATE_DESTINATION_INSTANCE|I2_DESTINATION_STATE_CHANGED
JSEP-M06,seeded-fault,I1,synchronize,true,,true,false,true,true,true,false,false,true,I1_UNEXPECTED_DESTINATION_IDENTITY,I1_UNEXPECTED_DESTINATION_IDENTITY
JSEP-M07,seeded-fault,I2,synchronize,true,,true,false,false,false,true,true,true,true,I2_DESTINATION_STATE_CHANGED,I2_DESTINATION_STATE_CHANGED|I2_DESTINATION_STATE_CHANGED
JSEP-M08,seeded-fault,I2,synchronize,true,,true,false,false,false,true,true,true,true,I2_DESTINATION_STATE_CHANGED,I2_DESTINATION_STATE_CHANGED
JSEP-M09,seeded-fault,I2,synchronize,true,,true,false,false,false,true,true,true,true,I2_DESTINATION_STATE_CHANGED,I2_DESTINATION_STATE_CHANGED
JSEP-M10,seeded-fault,I2,synchronize,true,,true,false,false,false,true,true,true,true,I2_DESTINATION_STATE_CHANGED,I2_DESTINATION_STATE_CHANGED
JSEP-M11,seeded-fault,I2,synchronize,true,,true,false,false,false,true,true,true,true,I2_DESTINATION_STATE_CHANGED,I2_DESTINATION_STATE_CHANGED
JSEP-M12,seeded-fault,I3,synchronize,true,,true,true,true,true,true,false,false,true,I3_UNTRUSTED_ORIGIN_ACCEPTED,I3_UNTRUSTED_ORIGIN_ACCEPTED|I3_DECISION_MISMATCH|I4_INELIGIBLE_MESSAGE_COMMITTED|I4_INELIGIBLE_MESSAGE_COMPLETED|I4_INELIGIBLE_MESSAGE_CHANGED_STATE|I4_INELIGIBLE_SEQUENCE_ADVANCED_ACCEPTED|I4_INELIGIBLE_SEQUENCE_ADVANCED_PERSISTED
JSEP-M13,seeded-fault,I3,synchronize,true,,true,true,true,true,true,false,false,true,I3_UNBOUND_PEER_ACCEPTED,I3_UNBOUND_PEER_ACCEPTED|I3_DECISION_MISMATCH|I4_INELIGIBLE_MESSAGE_COMMITTED|I4_INELIGIBLE_MESSAGE_COMPLETED|I4_INELIGIBLE_MESSAGE_CHANGED_STATE|I4_INELIGIBLE_SEQUENCE_ADVANCED_ACCEPTED|I4_INELIGIBLE_SEQUENCE_ADVANCED_PERSISTED
JSEP-M14,seeded-fault,I3,replace,true,,true,true,true,true,true,false,false,true,I3_DECISION_MISMATCH,I3_DECISION_MISMATCH|I4_INELIGIBLE_MESSAGE_COMMITTED|I4_INELIGIBLE_MESSAGE_COMPLETED|I4_INELIGIBLE_MESSAGE_CHANGED_STATE
JSEP-M15,seeded-fault,I3,synchronize,true,,true,true,true,true,true,false,false,true,I3_DECISION_MISMATCH,I3_DECISION_MISMATCH|I4_INELIGIBLE_MESSAGE_COMMITTED|I4_INELIGIBLE_MESSAGE_COMPLETED|I4_INELIGIBLE_MESSAGE_CHANGED_STATE
JSEP-M16,seeded-fault,I3,synchronize,true,,true,true,true,true,true,false,false,true,I3_DECISION_MISMATCH,I3_DECISION_MISMATCH|I4_INELIGIBLE_MESSAGE_COMMITTED|I4_INELIGIBLE_MESSAGE_COMPLETED|I4_INELIGIBLE_MESSAGE_CHANGED_STATE|I4_INELIGIBLE_SEQUENCE_ADVANCED_ACCEPTED|I4_INELIGIBLE_SEQUENCE_ADVANCED_PERSISTED
JSEP-M17,seeded-fault,I3,synchronize,true,,true,true,true,true,true,false,false,true,I3_DECISION_MISMATCH,I1_UNEXPECTED_DESTINATION_IDENTITY|I1_UNEXPECTED_DESTINATION_IDENTITY|I3_DECISION_MISMATCH|I3_SYNCHRONIZATION_PHASE_ORDER|I4_COMMIT_COMPLETION_ORDER|I4_ACCEPTED_WATERMARK_MISMATCH|I4_PERSISTED_WATERMARK_MISMATCH
JSEP-M18,seeded-fault,I3,synchronize,true,,true,false,false,false,true,true,true,true,I3_FAILED_SEQUENCE_NOT_RETRYABLE,I3_FAILED_SEQUENCE_NOT_RETRYABLE
JSEP-M19,seeded-fault,I4,synchronize,true,,true,false,false,false,true,true,true,true,I4_COMMIT_COMPLETION_ORDER,I4_COMMIT_COMPLETION_ORDER
JSEP-M20,seeded-fault,I4,synchronize,true,,true,true,true,true,true,false,false,true,I4_SUCCESS_AFTER_FAILURE,I4_SUCCESS_AFTER_FAILURE|I4_FAILED_COMMIT_CHANGED_DURABLE_STATE
EC-001,reproduced-defect,I1,synchronize,true,,true,false,false,true,true,true,false,true,I1_MISSING_DESTINATION_IDENTITY,I1_MISSING_DESTINATION_IDENTITY|I1_UNEXPECTED_DESTINATION_IDENTITY|I2_CONTINUITY_TARGET_MISSING
EC-002,reproduced-defect,I1,synchronize,true,,true,false,true,true,true,false,false,true,I1_DUPLICATE_DESTINATION_IDENTITY,I1_DUPLICATE_DESTINATION_IDENTITY
EC-004,reproduced-defect,I1,synchronize,true,,true,false,false,false,true,true,true,true,I1_DUPLICATE_DESTINATION_INSTANCE,I1_DUPLICATE_DESTINATION_INSTANCE|I2_DESTINATION_STATE_CHANGED
EC-005,reproduced-defect,I1,synchronize,true,,true,false,true,true,true,false,false,true,I1_UNEXPECTED_DESTINATION_IDENTITY,I1_UNEXPECTED_DESTINATION_IDENTITY
EC-006,reproduced-defect,I1,synchronize,true,,true,false,true,true,true,false,false,true,I1_MISSING_DESTINATION_IDENTITY,I1_MISSING_DESTINATION_IDENTITY
EC-007,reproduced-defect,I3,synchronize,true,,true,false,false,false,true,true,true,true,I3_FAILED_SEQUENCE_NOT_RETRYABLE,I3_FAILED_SEQUENCE_NOT_RETRYABLE
EC-008,reproduced-defect,I3,synchronize,true,,true,true,true,true,true,false,false,true,I3_UNBOUND_PEER_ACCEPTED,I3_UNBOUND_PEER_ACCEPTED|I3_DECISION_MISMATCH|I4_INELIGIBLE_MESSAGE_COMMITTED|I4_INELIGIBLE_MESSAGE_COMPLETED|I4_INELIGIBLE_MESSAGE_CHANGED_STATE|I4_INELIGIBLE_SEQUENCE_ADVANCED_ACCEPTED|I4_INELIGIBLE_SEQUENCE_ADVANCED_PERSISTED
EC-003,reproduced-defect,I4,synchronize,true,,true,false,true,true,true,false,false,true,I4_NON_ATOMIC_COMMIT,I1_MISSING_DESTINATION_IDENTITY|I1_MISSING_DESTINATION_IDENTITY|I2_CONTINUITY_TARGET_MISSING|I2_CONTINUITY_TARGET_MISSING|I4_NON_ATOMIC_COMMIT
