mode,roster_size,repetition,surface_ms,keyed_ms,contract_ms,incremental_ms,incremental_over_keyed_ms,contract_to_surface_ratio,contract_to_keyed_ratio,incremental_share_of_contract,incremental_over_keyed_share_of_contract
replace,50,1,0.0217,0.019,0.4445,0.4228,0.4255,20.483871,23.394737,0.951181,0.957255
replace,50,2,0.0263,0.0276,0.4548,0.4285,0.4272,17.292776,16.478261,0.942172,0.939314
replace,50,3,0.0315,0.0265,0.479,0.4475,0.4525,15.206349,18.075472,0.934238,0.944676
replace,50,4,0.0279,0.0269,0.4996,0.4717,0.4727,17.90681,18.572491,0.944155,0.946157
replace,50,5,0.0229,0.0188,0.6114,0.5885,0.5926,26.69869,32.521277,0.962545,0.969251
replace,50,6,0.0232,0.0195,0.6139,0.5907,0.5944,26.461207,31.482051,0.962209,0.968236
replace,50,7,0.0212,0.0246,0.5357,0.5145,0.5111,25.268868,21.776423,0.960426,0.954079
replace,50,8,0.0214,0.0193,0.484,0.4626,0.4647,22.616822,25.07772,0.955785,0.960124
replace,50,9,0.0209,0.019,0.4369,0.416,0.4179,20.904306,22.994737,0.952163,0.956512
replace,50,10,0.021,0.0184,0.5609,0.5399,0.5425,26.709524,30.483696,0.96256,0.967196
replace,50,11,0.0216,0.0196,0.4366,0.415,0.417,20.212963,22.27551,0.950527,0.955108
replace,50,12,0.0224,0.0196,0.4355,0.4131,0.4159,19.441964,22.219388,0.948565,0.954994
replace,50,13,0.0285,0.0185,0.4519,0.4234,0.4334,15.85614,24.427027,0.936933,0.959062
replace,50,14,0.0225,0.0192,0.4472,0.4247,0.428,19.875556,23.291667,0.949687,0.957066
replace,50,15,0.0214,0.0194,0.5603,0.5389,0.5409,26.182243,28.881443,0.961806,0.965376
replace,50,16,0.0202,0.0191,0.4365,0.4163,0.4174,21.608911,22.853403,0.953723,0.956243
replace,50,17,0.0199,0.0189,0.4356,0.4157,0.4167,21.889447,23.047619,0.954316,0.956612
replace,50,18,0.0201,0.0203,0.4424,0.4223,0.4221,22.00995,21.793103,0.954566,0.954114
replace,50,19,0.0204,0.0189,0.5449,0.5245,0.526,26.710784,28.830688,0.962562,0.965315
replace,50,20,0.0221,0.0236,0.4639,0.4418,0.4403,20.99095,19.65678,0.95236,0.949127
replace,50,21,0.0202,0.019,0.4407,0.4205,0.4217,21.816832,23.194737,0.954164,0.956887
replace,50,22,0.0206,0.0186,0.4335,0.4129,0.4149,21.043689,23.306452,0.95248,0.957093
replace,50,23,0.02,0.0183,0.435,0.415,0.4167,21.75,23.770492,0.954023,0.957931
replace,50,24,0.0208,0.019,0.5117,0.4909,0.4927,24.600962,26.931579,0.959351,0.962869
replace,50,25,0.0207,0.0186,0.4339,0.4132,0.4153,20.961353,23.327957,0.952293,0.957133
replace,50,26,0.0206,0.0215,0.4343,0.4137,0.4128,21.082524,20.2,0.952567,0.950495
replace,50,27,0.0205,0.0184,0.4573,0.4368,0.4389,22.307317,24.853261,0.955172,0.959764
replace,50,28,0.0197,0.0191,0.4445,0.4248,0.4254,22.563452,23.272251,0.955681,0.95703
replace,50,29,0.0207,0.0188,0.5006,0.4799,0.4818,24.183575,26.62766,0.95865,0.962445
replace,50,30,0.0198,0.0186,0.4381,0.4183,0.4195,22.126263,23.553763,0.954805,0.957544
replace,50,31,0.0197,0.019,0.4362,0.4165,0.4172,22.142132,22.957895,0.954837,0.956442
replace,50,32,0.0202,0.0186,0.4531,0.4329,0.4345,22.430693,24.360215,0.955418,0.958949
replace,50,33,0.0199,0.0184,0.4344,0.4145,0.416,21.829146,23.608696,0.95419,0.957643
replace,50,34,0.0199,0.0186,0.4876,0.4677,0.469,24.502513,26.215054,0.959188,0.961854
replace,50,35,0.0203,0.0188,0.4643,0.444,0.4455,22.871921,24.696809,0.956278,0.959509
replace,50,36,0.0213,0.0192,0.4623,0.441,0.4431,21.704225,24.078125,0.953926,0.958469
replace,50,37,0.0207,0.0192,0.4552,0.4345,0.436,21.990338,23.708333,0.954525,0.957821
replace,50,38,0.0208,0.0194,0.4517,0.4309,0.4323,21.716346,23.283505,0.953952,0.957051
replace,50,39,0.0211,0.0193,0.5093,0.4882,0.49,24.137441,26.388601,0.958571,0.962105
replace,50,40,0.0201,0.019,0.4645,0.4444,0.4455,23.109453,24.447368,0.956728,0.959096
replace,50,41,0.0207,0.019,0.4336,0.4129,0.4146,20.94686,22.821053,0.95226,0.956181
replace,50,42,0.0199,0.0188,0.4329,0.413,0.4141,21.753769,23.026596,0.954031,0.956572
replace,50,43,0.0196,0.0185,0.4457,0.4261,0.4272,22.739796,24.091892,0.956024,0.958492
replace,50,44,0.0249,0.0218,0.7619,0.737,0.7401,30.598394,34.949541,0.967319,0.971387
replace,50,45,0.0214,0.0203,0.4475,0.4261,0.4272,20.911215,22.044335,0.952179,0.954637
replace,50,46,0.0205,0.0194,0.4561,0.4356,0.4367,22.24878,23.510309,0.955054,0.957465
replace,50,47,0.0278,0.0189,0.5024,0.4746,0.4835,18.071942,26.582011,0.944666,0.962381
replace,50,48,0.4919,0.0241,0.505,0.0131,0.4809,1.026631,20.954357,0.025941,0.952277
replace,50,49,0.0217,0.0193,0.5062,0.4845,0.4869,23.327189,26.227979,0.957132,0.961873
replace,50,50,0.023,0.0195,0.4683,0.4453,0.4488,20.36087,24.015385,0.950886,0.95836
replace,50,51,0.0212,0.02,0.4994,0.4782,0.4794,23.556604,24.97,0.957549,0.959952
replace,50,52,0.0203,0.0188,0.4438,0.4235,0.425,21.862069,23.606383,0.954259,0.957639
replace,50,53,0.0214,0.0187,0.5585,0.5371,0.5398,26.098131,29.86631,0.961683,0.966517
replace,50,54,0.0209,0.0192,0.507,0.4861,0.4878,24.258373,26.40625,0.958777,0.96213
replace,50,55,0.02,0.0185,0.4348,0.4148,0.4163,21.74,23.502703,0.954002,0.957452
replace,50,56,0.02,0.0183,0.4345,0.4145,0.4162,21.725,23.743169,0.95397,0.957883
replace,50,57,0.0198,0.0187,0.4331,0.4133,0.4144,21.873737,23.160428,0.954283,0.956823
replace,50,58,0.0198,0.0188,0.5431,0.5233,0.5243,27.429293,28.888298,0.963543,0.965384
replace,50,59,0.0207,0.0191,0.4353,0.4146,0.4162,21.028986,22.790576,0.952447,0.956122
replace,50,60,0.0201,0.019,0.436,0.4159,0.417,21.691542,22.947368,0.953899,0.956422
replace,50,61,0.0202,0.0184,0.4361,0.4159,0.4177,21.589109,23.701087,0.95368,0.957808
replace,50,62,0.0203,0.0184,0.4401,0.4198,0.4217,21.679803,23.918478,0.953874,0.958191
replace,50,63,0.0211,0.0192,0.5077,0.4866,0.4885,24.061611,26.442708,0.95844,0.962182
replace,50,64,0.02,0.0192,0.446,0.426,0.4268,22.3,23.229167,0.955157,0.956951
replace,50,65,0.02,0.02,0.4357,0.4157,0.4157,21.785,21.785,0.954097,0.954097
replace,50,66,0.0208,0.0186,0.446,0.4252,0.4274,21.442308,23.978495,0.953363,0.958296
replace,50,67,0.0205,0.0189,0.4406,0.4201,0.4217,21.492683,23.312169,0.953473,0.957104
replace,50,68,0.0213,0.0187,0.5013,0.48,0.4826,23.535211,26.807487,0.95751,0.962697
replace,50,69,0.0203,0.0189,0.4387,0.4184,0.4198,21.610837,23.21164,0.953727,0.956918
replace,50,70,0.0202,0.0192,0.4387,0.4185,0.4195,21.717822,22.848958,0.953955,0.956234
replace,50,71,0.0202,0.0188,0.4343,0.4141,0.4155,21.5,23.101064,0.953488,0.956712
replace,50,72,0.02,0.0187,0.4351,0.4151,0.4164,21.755,23.26738,0.954034,0.957021
replace,50,73,0.02,0.0183,0.4833,0.4633,0.465,24.165,26.409836,0.958618,0.962135
replace,50,74,0.0213,0.0188,0.4394,0.4181,0.4206,20.629108,23.37234,0.951525,0.957214
replace,50,75,0.0202,0.0186,0.438,0.4178,0.4194,21.683168,23.548387,0.953881,0.957534
replace,50,76,0.0202,0.0199,0.4692,0.449,0.4493,23.227723,23.577889,0.956948,0.957587
replace,50,77,0.088,0.0199,0.4823,0.3943,0.4624,5.480682,24.236181,0.817541,0.958739
replace,50,78,0.0203,0.0187,0.4408,0.4205,0.4221,21.714286,23.572193,0.953947,0.957577
replace,50,79,0.0203,0.0189,0.4343,0.414,0.4154,21.394089,22.978836,0.953258,0.956482
replace,50,80,0.0207,0.0184,0.4469,0.4262,0.4285,21.589372,24.288043,0.953681,0.958827
replace,50,81,0.0203,0.0186,0.4727,0.4524,0.4541,23.285714,25.413978,0.957055,0.960652
replace,50,82,0.0195,0.018,0.5001,0.4806,0.4821,25.646154,27.783333,0.961008,0.964007
replace,50,83,0.0204,0.0187,0.4501,0.4297,0.4314,22.063725,24.069519,0.954677,0.958454
replace,50,84,0.0201,0.0185,0.4846,0.4645,0.4661,24.109453,26.194595,0.958522,0.961824
