scenario,variant,roster_size,runs,outcome_success_rate,state_preservation_rate,elapsed_median_ms,elapsed_p95_ms
message-order,sequence-guard,50,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,200,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,500,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,1000,100,1.000000,,0.000000,0.000000
message-order,without-sequence-guard,50,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,200,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,500,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,1000,100,0.000000,,0.000000,0.000000
stable-identity,full-protocol,50,100,1.000000,1.000000,0.034750,0.097790
stable-identity,full-protocol,200,100,1.000000,1.000000,0.137000,0.306410
stable-identity,full-protocol,500,100,1.000000,1.000000,0.330400,0.597935
stable-identity,full-protocol,1000,100,1.000000,1.000000,0.630250,0.866985
stable-identity,without-stable-id,50,100,0.000000,0.000000,0.042050,0.137995
stable-identity,without-stable-id,200,100,0.000000,0.000000,0.163100,0.344380
stable-identity,without-stable-id,500,100,0.000000,0.000000,0.398250,0.874880
stable-identity,without-stable-id,1000,100,0.000000,0.000000,0.754900,1.344055
state-continuity,replace-all,50,100,0.000000,0.000000,0.002100,0.006205
state-continuity,replace-all,200,100,0.000000,0.000000,0.006200,0.015895
state-continuity,replace-all,500,100,0.000000,0.000000,0.015150,0.047760
state-continuity,replace-all,1000,100,0.000000,0.000000,0.026150,0.066640
state-continuity,state-preserving-merge,50,100,1.000000,1.000000,0.031900,0.059920
state-continuity,state-preserving-merge,200,100,1.000000,1.000000,0.129250,0.323125
state-continuity,state-preserving-merge,500,100,1.000000,1.000000,0.308100,0.554770
state-continuity,state-preserving-merge,1000,100,1.000000,1.000000,0.582200,0.822575
transient-empty,empty-payload-guard,50,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,200,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,500,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,1000,100,1.000000,,0.000000,0.000000
transient-empty,without-empty-guard,50,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,200,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,500,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,1000,100,0.000000,,0.000000,0.000000
