scenario,variant,roster_size,runs,outcome_success_rate,state_preservation_rate,elapsed_median_ms,elapsed_p95_ms
message-order,sequence-guard,50,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,200,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,500,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,1000,100,1.000000,,0.000000,0.000000
message-order,without-sequence-guard,50,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,200,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,500,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,1000,100,0.000000,,0.000000,0.000000
stable-identity,full-protocol,50,100,1.000000,1.000000,0.105750,0.253190
stable-identity,full-protocol,200,100,1.000000,1.000000,0.388200,0.674275
stable-identity,full-protocol,500,100,1.000000,1.000000,0.978500,1.499680
stable-identity,full-protocol,1000,100,1.000000,1.000000,1.956200,2.727780
stable-identity,without-stable-id,50,100,0.000000,0.000000,0.109200,0.202310
stable-identity,without-stable-id,200,100,0.000000,0.000000,0.403350,0.768440
stable-identity,without-stable-id,500,100,0.000000,0.000000,0.986650,1.418195
stable-identity,without-stable-id,1000,100,0.000000,0.000000,1.975400,2.776390
state-continuity,replace-all,50,100,0.000000,0.000000,0.001800,0.004720
state-continuity,replace-all,200,100,0.000000,0.000000,0.005550,0.014035
state-continuity,replace-all,500,100,0.000000,0.000000,0.014250,0.038755
state-continuity,replace-all,1000,100,0.000000,0.000000,0.026650,0.053335
state-continuity,state-preserving-merge,50,100,1.000000,1.000000,0.104100,0.210030
state-continuity,state-preserving-merge,200,100,1.000000,1.000000,0.371650,1.018425
state-continuity,state-preserving-merge,500,100,1.000000,1.000000,0.937200,1.491470
state-continuity,state-preserving-merge,1000,100,1.000000,1.000000,1.879000,2.508455
transient-empty,empty-payload-guard,50,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,200,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,500,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,1000,100,1.000000,,0.000000,0.000000
transient-empty,without-empty-guard,50,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,200,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,500,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,1000,100,0.000000,,0.000000,0.000000
