scenario,variant,roster_size,runs,outcome_success_rate,state_preservation_rate,elapsed_median_ms,elapsed_p95_ms
message-order,sequence-guard,50,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,200,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,500,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,1000,100,1.000000,,0.000000,0.000000
message-order,without-sequence-guard,50,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,200,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,500,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,1000,100,0.000000,,0.000000,0.000000
stable-identity,full-protocol,50,100,1.000000,1.000000,0.105600,0.244415
stable-identity,full-protocol,200,100,1.000000,1.000000,0.384900,0.638925
stable-identity,full-protocol,500,100,1.000000,1.000000,0.966050,1.326675
stable-identity,full-protocol,1000,100,1.000000,1.000000,1.886100,2.318375
stable-identity,without-stable-id,50,100,0.000000,0.000000,0.103850,0.192335
stable-identity,without-stable-id,200,100,0.000000,0.000000,0.395500,0.649455
stable-identity,without-stable-id,500,100,0.000000,0.000000,0.970200,1.344005
stable-identity,without-stable-id,1000,100,0.000000,0.000000,1.899400,2.455810
state-continuity,replace-all,50,100,0.000000,0.000000,0.001500,0.006035
state-continuity,replace-all,200,100,0.000000,0.000000,0.005000,0.013985
state-continuity,replace-all,500,100,0.000000,0.000000,0.011850,0.025710
state-continuity,replace-all,1000,100,0.000000,0.000000,0.025750,0.075050
state-continuity,state-preserving-merge,50,100,1.000000,1.000000,0.098950,0.189685
state-continuity,state-preserving-merge,200,100,1.000000,1.000000,0.364100,0.577625
state-continuity,state-preserving-merge,500,100,1.000000,1.000000,0.902100,1.294340
state-continuity,state-preserving-merge,1000,100,1.000000,1.000000,1.795350,2.256940
transient-empty,empty-payload-guard,50,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,200,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,500,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,1000,100,1.000000,,0.000000,0.000000
transient-empty,without-empty-guard,50,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,200,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,500,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,1000,100,0.000000,,0.000000,0.000000
