scenario,variant,roster_size,runs,outcome_success_rate,state_preservation_rate,elapsed_median_ms,elapsed_p95_ms
message-order,sequence-guard,50,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,200,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,500,100,1.000000,,0.000000,0.000000
message-order,sequence-guard,1000,100,1.000000,,0.000000,0.000000
message-order,without-sequence-guard,50,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,200,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,500,100,0.000000,,0.000000,0.000000
message-order,without-sequence-guard,1000,100,0.000000,,0.000000,0.000000
stable-identity,full-protocol,50,100,1.000000,1.000000,0.098800,0.203350
stable-identity,full-protocol,200,100,1.000000,1.000000,0.397600,0.787040
stable-identity,full-protocol,500,100,1.000000,1.000000,0.956000,1.540395
stable-identity,full-protocol,1000,100,1.000000,1.000000,1.877050,2.384340
stable-identity,without-stable-id,50,100,0.000000,0.000000,0.102900,0.247335
stable-identity,without-stable-id,200,100,0.000000,0.000000,0.402100,0.779570
stable-identity,without-stable-id,500,100,0.000000,0.000000,0.962900,1.294400
stable-identity,without-stable-id,1000,100,0.000000,0.000000,1.869400,2.409535
state-continuity,replace-all,50,100,0.000000,0.000000,0.001500,0.004110
state-continuity,replace-all,200,100,0.000000,0.000000,0.005450,0.013790
state-continuity,replace-all,500,100,0.000000,0.000000,0.013300,0.020655
state-continuity,replace-all,1000,100,0.000000,0.000000,0.025500,0.035450
state-continuity,state-preserving-merge,50,100,1.000000,1.000000,0.095350,0.233410
state-continuity,state-preserving-merge,200,100,1.000000,1.000000,0.379800,0.577895
state-continuity,state-preserving-merge,500,100,1.000000,1.000000,0.919600,1.660840
state-continuity,state-preserving-merge,1000,100,1.000000,1.000000,1.810750,2.417645
transient-empty,empty-payload-guard,50,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,200,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,500,100,1.000000,,0.000000,0.000000
transient-empty,empty-payload-guard,1000,100,1.000000,,0.000000,0.000000
transient-empty,without-empty-guard,50,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,200,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,500,100,0.000000,,0.000000,0.000000
transient-empty,without-empty-guard,1000,100,0.000000,,0.000000,0.000000
