browser,roster_size,end_to_end_runs,end_to_end_passes,end_to_end_success_rate,end_to_end_wilson_95_low,end_to_end_wilson_95_high,protocol_attempts_completed,protocol_correct_completions,protocol_correct_completion_rate,protocol_wilson_95_low,protocol_wilson_95_high,precompletion_failures,identity_set_success_rate_among_completions,duplicate_stable_ids_total,protocol_latency_median_ms,protocol_latency_q1_ms,protocol_latency_q3_ms,protocol_latency_p95_ms,protocol_latency_max_ms,receiver_preparation_median_ms,receiver_persistence_median_ms,wall_time_median_ms,wall_time_q1_ms,wall_time_q3_ms,wall_time_p95_ms,wall_time_max_ms
chromium,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,62.000000,60.000000,63.000000,65.000000,66.000000,1.400000,58.000000,468.000000,459.250000,479.500000,494.650000,527.000000
chromium,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,80.000000,75.500000,81.750000,90.200000,92.000000,2.600000,74.850000,488.500000,473.500000,503.250000,550.050000,588.000000
chromium,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,123.000000,120.000000,125.000000,130.650000,132.000000,5.450000,115.650000,582.500000,568.500000,595.750000,606.550000,607.000000
chromium,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,229.500000,210.000000,240.750000,253.650000,266.000000,10.150000,211.900000,870.000000,809.250000,903.500000,957.100000,986.000000
firefox,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,91.000000,86.000000,106.750000,115.550000,119.000000,2.000000,88.500000,2795.000000,2718.750000,2885.000000,2943.850000,2978.000000
firefox,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,126.000000,122.250000,129.500000,138.500000,147.000000,4.000000,121.500000,2812.500000,2784.250000,2831.250000,2856.000000,2890.000000
firefox,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,206.000000,199.500000,214.500000,233.300000,250.000000,6.000000,198.500000,3000.500000,2976.500000,3049.000000,3197.200000,3317.000000
firefox,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,355.000000,332.000000,377.750000,425.200000,437.000000,11.500000,340.500000,3464.500000,3325.750000,3570.250000,3717.000000,3816.000000
webkit,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,1021.500000,985.750000,1131.500000,1220.750000,1237.000000,2.000000,1004.000000,11401.500000,8243.250000,12205.500000,14769.800000,18253.000000
webkit,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,4063.500000,3618.000000,4178.500000,4209.050000,4221.000000,5.000000,4045.500000,5270.500000,4820.500000,5540.750000,5732.550000,8954.000000
webkit,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,8345.500000,8182.000000,8755.250000,9767.050000,9968.000000,5.500000,8329.500000,9407.500000,9212.500000,9954.250000,11008.100000,11236.000000
webkit,1000,30.000000,29.000000,0.966667,0.833296,0.994091,29.000000,29.000000,1.000000,0.883030,1.000000,1.000000,1.000000,0.000000,19423.000000,19327.000000,19716.000000,19956.400000,20202.000000,11.000000,19401.000000,20901.000000,20802.250000,21234.500000,32567.950000,1804020.000000
