browser,roster_size,end_to_end_runs,end_to_end_passes,end_to_end_success_rate,end_to_end_wilson_95_low,end_to_end_wilson_95_high,protocol_attempts_completed,protocol_correct_completions,protocol_correct_completion_rate,protocol_wilson_95_low,protocol_wilson_95_high,precompletion_failures,identity_set_success_rate_among_completions,duplicate_stable_ids_total,protocol_latency_median_ms,protocol_latency_q1_ms,protocol_latency_q3_ms,protocol_latency_p95_ms,protocol_latency_max_ms,receiver_preparation_median_ms,receiver_persistence_median_ms,wall_time_median_ms,wall_time_q1_ms,wall_time_q3_ms,wall_time_p95_ms,wall_time_max_ms
chromium,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,56.500000,53.250000,61.000000,65.550000,67.000000,1.450000,52.600000,439.500000,417.250000,454.000000,479.000000,481.000000
chromium,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,92.000000,84.250000,99.500000,113.250000,144.000000,3.350000,86.250000,542.500000,526.500000,577.750000,669.750000,696.000000
chromium,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,146.500000,141.250000,152.750000,168.200000,182.000000,6.900000,136.350000,677.500000,656.250000,698.750000,720.050000,746.000000
chromium,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,252.000000,236.500000,272.250000,328.050000,458.000000,10.800000,232.050000,955.000000,890.250000,1047.500000,1569.750000,3005.000000
firefox,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,94.000000,69.000000,105.750000,117.200000,125.000000,2.000000,89.500000,2928.000000,2899.750000,2996.500000,3375.050000,5335.000000
firefox,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,137.000000,125.250000,146.750000,158.650000,166.000000,5.000000,131.500000,2993.500000,2947.750000,3033.750000,3215.000000,4200.000000
firefox,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,223.500000,208.250000,235.750000,255.500000,262.000000,9.000000,212.500000,3139.500000,3114.250000,3197.750000,3715.350000,4871.000000
firefox,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,307.000000,282.250000,352.750000,407.650000,411.000000,14.000000,290.000000,3460.500000,3404.750000,3488.500000,3569.200000,3595.000000
webkit,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,1206.000000,1190.250000,1223.500000,1245.050000,1255.000000,3.000000,1188.500000,12540.500000,9181.000000,13010.250000,16623.050000,17975.000000
webkit,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,4137.500000,4115.250000,4153.250000,4189.950000,4200.000000,4.500000,4119.500000,5308.000000,5265.750000,5340.750000,5424.050000,5464.000000
webkit,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,9846.000000,8594.500000,9975.500000,10095.850000,10901.000000,7.000000,9824.500000,11125.500000,9797.000000,11296.500000,11466.050000,13867.000000
webkit,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,19732.500000,19685.500000,19784.750000,20012.150000,21877.000000,13.000000,19704.500000,21613.000000,21486.500000,21772.000000,25349.550000,37440.000000
