browser,roster_size,end_to_end_runs,end_to_end_passes,end_to_end_success_rate,end_to_end_wilson_95_low,end_to_end_wilson_95_high,protocol_attempts_completed,protocol_correct_completions,protocol_correct_completion_rate,protocol_wilson_95_low,protocol_wilson_95_high,precompletion_failures,identity_set_success_rate_among_completions,public_field_success_rate_among_completions,duplicate_stable_ids_total,public_field_mismatches_total,protocol_latency_median_ms,protocol_latency_q1_ms,protocol_latency_q3_ms,protocol_latency_p95_ms,protocol_latency_max_ms,receiver_preparation_median_ms,receiver_persistence_median_ms,wall_time_median_ms,wall_time_q1_ms,wall_time_q3_ms,wall_time_p95_ms,wall_time_max_ms
chromium,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,53.500000,51.250000,56.000000,61.550000,66.000000,1.350000,50.050000,422.500000,406.750000,435.500000,459.450000,472.000000
chromium,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,81.000000,76.000000,84.000000,89.550000,90.000000,2.800000,75.650000,479.500000,462.000000,497.750000,527.650000,534.000000
chromium,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,140.500000,135.250000,152.500000,174.600000,186.000000,6.500000,129.650000,640.000000,605.000000,678.750000,773.650000,779.000000
chromium,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,216.000000,209.250000,222.000000,255.750000,276.000000,8.850000,198.800000,836.000000,801.250000,862.500000,922.250000,1007.000000
firefox,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,87.000000,83.250000,91.000000,94.100000,109.000000,2.000000,84.000000,2640.000000,2607.500000,2663.750000,2709.500000,2732.000000
firefox,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,118.000000,113.000000,121.750000,132.200000,140.000000,4.000000,112.500000,2685.500000,2663.250000,2716.000000,2761.050000,2844.000000
firefox,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,192.000000,178.500000,206.750000,232.600000,246.000000,8.000000,183.000000,2903.500000,2879.000000,2978.500000,3104.650000,3193.000000
firefox,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,289.500000,272.250000,301.750000,321.300000,411.000000,12.000000,274.500000,3137.500000,3105.250000,3188.750000,3261.600000,3404.000000
webkit,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,234.000000,223.750000,256.500000,281.850000,362.000000,2.000000,222.000000,7587.500000,7358.500000,11018.500000,14690.550000,17068.000000
webkit,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,573.000000,561.750000,596.500000,622.550000,678.000000,4.000000,560.000000,1468.000000,1443.000000,1495.000000,1616.700000,2583.000000
webkit,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1269.500000,1242.750000,1303.750000,1379.950000,1461.000000,7.000000,1248.500000,2336.500000,2251.250000,2404.500000,2599.150000,2818.000000
webkit,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,2352.000000,2288.000000,2397.000000,2474.150000,2516.000000,11.000000,2324.500000,3640.000000,3533.750000,3727.750000,3791.400000,4023.000000
