browser,roster_size,end_to_end_runs,end_to_end_passes,end_to_end_success_rate,end_to_end_wilson_95_low,end_to_end_wilson_95_high,protocol_attempts_completed,protocol_correct_completions,protocol_correct_completion_rate,protocol_wilson_95_low,protocol_wilson_95_high,precompletion_failures,identity_set_success_rate_among_completions,duplicate_stable_ids_total,protocol_latency_median_ms,protocol_latency_q1_ms,protocol_latency_q3_ms,protocol_latency_p95_ms,protocol_latency_max_ms,receiver_preparation_median_ms,receiver_persistence_median_ms,wall_time_median_ms,wall_time_q1_ms,wall_time_q3_ms,wall_time_p95_ms,wall_time_max_ms
chromium,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,55.000000,53.250000,55.000000,57.000000,59.000000,1.300000,50.900000,427.500000,416.000000,433.750000,452.550000,453.000000
chromium,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,82.000000,80.000000,84.750000,86.000000,89.000000,2.700000,76.650000,494.000000,485.000000,509.000000,522.550000,529.000000
chromium,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,138.000000,136.000000,141.000000,147.550000,151.000000,6.100000,129.000000,630.000000,617.250000,637.500000,655.400000,660.000000
chromium,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,225.500000,221.000000,232.000000,240.000000,241.000000,9.750000,211.400000,864.500000,851.250000,883.500000,901.100000,923.000000
firefox,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,95.500000,91.000000,100.750000,113.750000,117.000000,2.000000,93.000000,2848.000000,2792.000000,2930.750000,2965.900000,3144.000000
firefox,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,141.000000,137.250000,147.000000,153.650000,160.000000,4.000000,136.500000,2896.500000,2874.500000,2938.000000,3012.250000,3032.000000
firefox,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,215.000000,208.000000,224.750000,235.550000,237.000000,7.000000,206.500000,3043.000000,3001.000000,3090.250000,3210.000000,3542.000000
firefox,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,334.000000,319.000000,349.750000,371.300000,388.000000,11.000000,322.000000,3348.500000,3271.000000,3467.000000,3519.700000,3613.000000
webkit,50,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,1202.000000,1101.500000,1219.750000,1231.300000,1485.000000,2.000000,1183.500000,11459.500000,8404.750000,11883.500000,14877.800000,15174.000000
webkit,200,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,3921.000000,3755.250000,3988.500000,4060.200000,4099.000000,4.000000,3904.000000,4966.500000,4847.750000,5095.000000,5165.300000,5210.000000
webkit,500,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,9407.500000,9095.500000,9553.250000,9716.200000,9827.000000,7.000000,9388.500000,10521.500000,10245.250000,10673.500000,10980.500000,11050.000000
webkit,1000,30.000000,30.000000,1.000000,0.886487,1.000000,30.000000,30.000000,1.000000,0.886487,1.000000,0.000000,1.000000,0.000000,18983.500000,18602.250000,19308.000000,19671.600000,19868.000000,11.000000,18959.500000,20409.000000,20030.250000,20857.000000,21081.900000,21446.000000
