browser,scenario,runs,passes,success_rate,wilson_95_low,wilson_95_high,latency_median_ms,latency_p95_ms
chromium,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,19.000000,25.100000
chromium,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,46.500000,61.200000
chromium,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,11.000000,14.000000
chromium,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,11.000000,13.550000
chromium,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,2.000000,2.550000
chromium,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,58.500000,72.000000
chromium,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,2.000000,3.000000
firefox,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,21.500000,27.000000
firefox,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,55.500000,65.550000
firefox,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,13.000000,15.550000
firefox,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,13.000000,16.550000
firefox,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,3.000000,4.000000
firefox,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,68.500000,78.100000
firefox,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,3.000000,4.000000
webkit,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,21.000000,28.550000
webkit,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,3160.000000,3178.750000
webkit,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,11.500000,21.000000
webkit,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,4721.000000,4759.350000
webkit,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,6.000000,11.550000
webkit,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,3183.500000,3225.900000
webkit,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,11.000000,14.000000
