browser,scenario,runs,passes,success_rate,wilson_95_low,wilson_95_high,exact_identity_rate,exact_public_field_rate,duplicate_stable_ids,missing_ids,unexpected_ids,public_field_mismatches,latency_median_ms,latency_p95_ms
chromium,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,19.000000,22.550000
chromium,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,45.000000,52.550000
chromium,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,11.000000,13.550000
chromium,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5.000000,8.100000
chromium,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000
chromium,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,53.000000,64.750000
chromium,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.000000
firefox,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,22.000000,25.550000
firefox,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,49.500000,58.650000
firefox,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,13.000000,15.550000
firefox,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,6.000000,14.550000
firefox,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.550000
firefox,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,62.000000,69.000000
firefox,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.000000
webkit,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,20.000000,25.550000
webkit,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,270.000000,3156.100000
webkit,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,10.000000,13.550000
webkit,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,9.000000,4714.100000
webkit,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,7.550000
webkit,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,302.500000,3176.950000
webkit,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,7.550000
