browser,scenario,runs,passes,success_rate,wilson_95_low,wilson_95_high,latency_median_ms,latency_p95_ms
chromium,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,18.500000,24.000000
chromium,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,46.500000,57.550000
chromium,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,11.000000,13.550000
chromium,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,8.000000,10.000000
chromium,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,2.000000,3.000000
chromium,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,59.000000,74.550000
chromium,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,2.000000,3.000000
firefox,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,23.000000,27.550000
firefox,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,58.500000,66.000000
firefox,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,14.000000,17.550000
firefox,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,13.000000,19.200000
firefox,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,3.000000,4.000000
firefox,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,73.500000,91.550000
firefox,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,3.000000,4.000000
webkit,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,19.000000,28.000000
webkit,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,3152.500000,3189.550000
webkit,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,11.000000,20.550000
webkit,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,4727.500000,4788.200000
webkit,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,5.500000,15.550000
webkit,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,3193.500000,3234.950000
webkit,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,9.500000,14.550000
