browser,scenario,runs,passes,success_rate,wilson_95_low,wilson_95_high,latency_median_ms,latency_p95_ms
chromium,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,17.000000,19.550000
chromium,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,40.000000,50.650000
chromium,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,9.000000,13.000000
chromium,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,8.000000,10.650000
chromium,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,2.000000,2.550000
chromium,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,52.000000,63.000000
chromium,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,2.000000,3.000000
firefox,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,22.000000,24.550000
firefox,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,55.500000,62.000000
firefox,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,13.000000,15.000000
firefox,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,13.000000,15.000000
firefox,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,3.000000,3.000000
firefox,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,66.500000,74.000000
firefox,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,3.000000,4.000000
webkit,control-current-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,22.000000,27.200000
webkit,duplicate-row-last-wins,30.000000,30.000000,1.000000,0.886487,1.000000,3167.000000,3185.300000
webkit,duplicate-sequence,30.000000,30.000000,1.000000,0.886487,1.000000,15.500000,20.550000
webkit,initial-sync,30.000000,30.000000,1.000000,0.886487,1.000000,4748.500000,4798.000000
webkit,intentional-clear,30.000000,30.000000,1.000000,0.886487,1.000000,7.000000,13.550000
webkit,recovery-after-clear,30.000000,30.000000,1.000000,0.886487,1.000000,3198.000000,3214.650000
webkit,transient-empty,30.000000,30.000000,1.000000,0.886487,1.000000,8.000000,14.550000
