scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
stable-identity,full-protocol,50,1,true,1,50,0.3182999999999936
stable-identity,without-stable-id,50,1,false,0,50,0.10759999999999081
state-continuity,replace-all,50,1,false,0,50,0.006600000000020145
state-continuity,state-preserving-merge,50,1,true,1,50,0.0870999999999924
message-order,sequence-guard,50,1,true,,50,0
message-order,without-sequence-guard,50,1,false,,50,0
transient-empty,empty-payload-guard,50,1,true,,50,0
transient-empty,without-empty-guard,50,1,false,,0,0
stable-identity,full-protocol,50,2,true,1,50,0.06829999999999359
stable-identity,without-stable-id,50,2,false,0,50,0.07230000000001269
state-continuity,replace-all,50,2,false,0,50,0.003500000000002501
state-continuity,state-preserving-merge,50,2,true,1,50,0.04419999999998936
message-order,sequence-guard,50,2,true,,50,0
message-order,without-sequence-guard,50,2,false,,50,0
transient-empty,empty-payload-guard,50,2,true,,50,0
transient-empty,without-empty-guard,50,2,false,,0,0
stable-identity,full-protocol,50,3,true,1,50,0.04850000000001842
stable-identity,without-stable-id,50,3,false,0,50,0.07349999999999568
state-continuity,replace-all,50,3,false,0,50,0.0036000000000058208
state-continuity,state-preserving-merge,50,3,true,1,50,0.17159999999998377
message-order,sequence-guard,50,3,true,,50,0
message-order,without-sequence-guard,50,3,false,,50,0
transient-empty,empty-payload-guard,50,3,true,,50,0
transient-empty,without-empty-guard,50,3,false,,0,0
stable-identity,full-protocol,50,4,true,1,50,0.23819999999997776
stable-identity,without-stable-id,50,4,false,0,50,0.21479999999999677
state-continuity,replace-all,50,4,false,0,50,0.003500000000002501
state-continuity,state-preserving-merge,50,4,true,1,50,0.10020000000000095
message-order,sequence-guard,50,4,true,,50,0
message-order,without-sequence-guard,50,4,false,,50,0
transient-empty,empty-payload-guard,50,4,true,,50,0
transient-empty,without-empty-guard,50,4,false,,0,0
stable-identity,full-protocol,50,5,true,1,50,0.06379999999998631
stable-identity,without-stable-id,50,5,false,0,50,0.05510000000001014
state-continuity,replace-all,50,5,false,0,50,0.0033000000000242835
state-continuity,state-preserving-merge,50,5,true,1,50,0.039600000000007185
message-order,sequence-guard,50,5,true,,50,0
message-order,without-sequence-guard,50,5,false,,50,0
transient-empty,empty-payload-guard,50,5,true,,50,0
transient-empty,without-empty-guard,50,5,false,,0,0
stable-identity,full-protocol,50,6,true,1,50,0.1303000000000054
stable-identity,without-stable-id,50,6,false,0,50,0.13650000000001228
state-continuity,replace-all,50,6,false,0,50,0.04240000000001487
state-continuity,state-preserving-merge,50,6,true,1,50,0.09440000000000737
message-order,sequence-guard,50,6,true,,50,0
message-order,without-sequence-guard,50,6,false,,50,0
transient-empty,empty-payload-guard,50,6,true,,50,0
transient-empty,without-empty-guard,50,6,false,,0,0
stable-identity,full-protocol,50,7,true,1,50,0.09659999999999513
stable-identity,without-stable-id,50,7,false,0,50,0.09309999999999263
state-continuity,replace-all,50,7,false,0,50,0.0021999999999877673
state-continuity,state-preserving-merge,50,7,true,1,50,0.048599999999993315
message-order,sequence-guard,50,7,true,,50,0
message-order,without-sequence-guard,50,7,false,,50,0
transient-empty,empty-payload-guard,50,7,true,,50,0
transient-empty,without-empty-guard,50,7,false,,0,0
stable-identity,full-protocol,50,8,true,1,50,0.06019999999998049
stable-identity,without-stable-id,50,8,false,0,50,0.046999999999997044
state-continuity,replace-all,50,8,false,0,50,0.0016999999999995907
state-continuity,state-preserving-merge,50,8,true,1,50,0.05360000000001719
message-order,sequence-guard,50,8,true,,50,0
message-order,without-sequence-guard,50,8,false,,50,0
transient-empty,empty-payload-guard,50,8,true,,50,0
transient-empty,without-empty-guard,50,8,false,,0,0
stable-identity,full-protocol,50,9,true,1,50,0.039600000000007185
stable-identity,without-stable-id,50,9,false,0,50,0.04420000000001778
state-continuity,replace-all,50,9,false,0,50,0.0021999999999877673
state-continuity,state-preserving-merge,50,9,true,1,50,0.037499999999994316
message-order,sequence-guard,50,9,true,,50,0
message-order,without-sequence-guard,50,9,false,,50,0
transient-empty,empty-payload-guard,50,9,true,,50,0
transient-empty,without-empty-guard,50,9,false,,0,0
stable-identity,full-protocol,50,10,true,1,50,0.040300000000002
stable-identity,without-stable-id,50,10,false,0,50,0.048599999999993315
state-continuity,replace-all,50,10,false,0,50,0.006300000000010186
state-continuity,state-preserving-merge,50,10,true,1,50,0.05350000000001387
message-order,sequence-guard,50,10,true,,50,0
message-order,without-sequence-guard,50,10,false,,50,0
transient-empty,empty-payload-guard,50,10,true,,50,0
transient-empty,without-empty-guard,50,10,false,,0,0
stable-identity,full-protocol,50,11,true,1,50,0.05720000000002301
stable-identity,without-stable-id,50,11,false,0,50,0.06370000000001141
state-continuity,replace-all,50,11,false,0,50,0.006000000000000227
state-continuity,state-preserving-merge,50,11,true,1,50,0.05859999999998422
message-order,sequence-guard,50,11,true,,50,0
message-order,without-sequence-guard,50,11,false,,50,0
transient-empty,empty-payload-guard,50,11,true,,50,0
transient-empty,without-empty-guard,50,11,false,,0,0
stable-identity,full-protocol,50,12,true,1,50,0.0478999999999985
stable-identity,without-stable-id,50,12,false,0,50,0.06520000000000437
state-continuity,replace-all,50,12,false,0,50,0.005400000000008731
state-continuity,state-preserving-merge,50,12,true,1,50,0.05330000000000723
message-order,sequence-guard,50,12,true,,50,0
message-order,without-sequence-guard,50,12,false,,50,0
transient-empty,empty-payload-guard,50,12,true,,50,0
transient-empty,without-empty-guard,50,12,false,,0,0
stable-identity,full-protocol,50,13,true,1,50,0.05379999999999541
