scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
stable-identity,full-protocol,50,1,true,1,50,0.5655000000000143
stable-identity,without-stable-id,50,1,false,0,50,0.24049999999999727
state-continuity,replace-all,50,1,false,0,50,0.006200000000006867
state-continuity,state-preserving-merge,50,1,true,1,50,0.170599999999979
message-order,sequence-guard,50,1,true,,50,0
message-order,without-sequence-guard,50,1,false,,50,0
transient-empty,empty-payload-guard,50,1,true,,50,0
transient-empty,without-empty-guard,50,1,false,,0,0
stable-identity,full-protocol,50,2,true,1,50,0.1453999999999951
stable-identity,without-stable-id,50,2,false,0,50,0.15509999999997603
state-continuity,replace-all,50,2,false,0,50,0.004300000000000637
state-continuity,state-preserving-merge,50,2,true,1,50,0.12590000000000146
message-order,sequence-guard,50,2,true,,50,0
message-order,without-sequence-guard,50,2,false,,50,0
transient-empty,empty-payload-guard,50,2,true,,50,0
transient-empty,without-empty-guard,50,2,false,,0,0
stable-identity,full-protocol,50,3,true,1,50,0.17660000000000764
stable-identity,without-stable-id,50,3,false,0,50,0.5268000000000086
state-continuity,replace-all,50,3,false,0,50,0.004300000000000637
state-continuity,state-preserving-merge,50,3,true,1,50,0.15209999999999013
message-order,sequence-guard,50,3,true,,50,0
message-order,without-sequence-guard,50,3,false,,50,0
transient-empty,empty-payload-guard,50,3,true,,50,0
transient-empty,without-empty-guard,50,3,false,,0,0
stable-identity,full-protocol,50,4,true,1,50,0.13929999999999154
stable-identity,without-stable-id,50,4,false,0,50,0.1564999999999941
state-continuity,replace-all,50,4,false,0,50,0.0030000000000143245
state-continuity,state-preserving-merge,50,4,true,1,50,0.12930000000000064
message-order,sequence-guard,50,4,true,,50,0
message-order,without-sequence-guard,50,4,false,,50,0
transient-empty,empty-payload-guard,50,4,true,,50,0
transient-empty,without-empty-guard,50,4,false,,0,0
stable-identity,full-protocol,50,5,true,1,50,0.14039999999999964
stable-identity,without-stable-id,50,5,false,0,50,0.12259999999997717
state-continuity,replace-all,50,5,false,0,50,0.0030999999999892225
state-continuity,state-preserving-merge,50,5,true,1,50,0.11539999999999395
message-order,sequence-guard,50,5,true,,50,0
message-order,without-sequence-guard,50,5,false,,50,0
transient-empty,empty-payload-guard,50,5,true,,50,0
transient-empty,without-empty-guard,50,5,false,,0,0
stable-identity,full-protocol,50,6,true,1,50,0.11700000000001864
stable-identity,without-stable-id,50,6,false,0,50,0.120900000000006
state-continuity,replace-all,50,6,false,0,50,0.007900000000006457
state-continuity,state-preserving-merge,50,6,true,1,50,0.13390000000001123
message-order,sequence-guard,50,6,true,,50,0
message-order,without-sequence-guard,50,6,false,,50,0
transient-empty,empty-payload-guard,50,6,true,,50,0
transient-empty,without-empty-guard,50,6,false,,0,0
stable-identity,full-protocol,50,7,true,1,50,0.14520000000001687
stable-identity,without-stable-id,50,7,false,0,50,0.16139999999998622
state-continuity,replace-all,50,7,false,0,50,0.0046999999999854936
state-continuity,state-preserving-merge,50,7,true,1,50,0.12360000000001037
message-order,sequence-guard,50,7,true,,50,0
message-order,without-sequence-guard,50,7,false,,50,0
transient-empty,empty-payload-guard,50,7,true,,50,0
transient-empty,without-empty-guard,50,7,false,,0,0
stable-identity,full-protocol,50,8,true,1,50,0.13509999999999422
stable-identity,without-stable-id,50,8,false,0,50,0.1396000000000015
state-continuity,replace-all,50,8,false,0,50,0.0028000000000076852
state-continuity,state-preserving-merge,50,8,true,1,50,0.126199999999983
message-order,sequence-guard,50,8,true,,50,0
message-order,without-sequence-guard,50,8,false,,50,0
transient-empty,empty-payload-guard,50,8,true,,50,0
transient-empty,without-empty-guard,50,8,false,,0,0
stable-identity,full-protocol,50,9,true,1,50,0.1272999999999911
stable-identity,without-stable-id,50,9,false,0,50,0.14339999999998554
state-continuity,replace-all,50,9,false,0,50,0.00190000000000623
state-continuity,state-preserving-merge,50,9,true,1,50,0.14320000000000732
message-order,sequence-guard,50,9,true,,50,0
message-order,without-sequence-guard,50,9,false,,50,0
transient-empty,empty-payload-guard,50,9,true,,50,0
transient-empty,without-empty-guard,50,9,false,,0,0
stable-identity,full-protocol,50,10,true,1,50,0.12620000000001141
stable-identity,without-stable-id,50,10,false,0,50,0.14109999999999445
state-continuity,replace-all,50,10,false,0,50,0.004400000000003956
state-continuity,state-preserving-merge,50,10,true,1,50,0.4461000000000013
message-order,sequence-guard,50,10,true,,50,0
message-order,without-sequence-guard,50,10,false,,50,0
transient-empty,empty-payload-guard,50,10,true,,50,0
transient-empty,without-empty-guard,50,10,false,,0,0
stable-identity,full-protocol,50,11,true,1,50,0.41310000000001423
stable-identity,without-stable-id,50,11,false,0,50,0.12089999999997758
state-continuity,replace-all,50,11,false,0,50,0.0016999999999995907
state-continuity,state-preserving-merge,50,11,true,1,50,0.10489999999998645
message-order,sequence-guard,50,11,true,,50,0
message-order,without-sequence-guard,50,11,false,,50,0
transient-empty,empty-payload-guard,50,11,true,,50,0
transient-empty,without-empty-guard,50,11,false,,0,0
stable-identity,full-protocol,50,12,true,1,50,0.11459999999999582
stable-identity,without-stable-id,50,12,false,0,50,0.11220000000000141
state-continuity,replace-all,50,12,false,0,50,0.0014000000000180535
state-continuity,state-preserving-merge,50,12,true,1,50,0.09640000000001692
message-order,sequence-guard,50,12,true,,50,0
message-order,without-sequence-guard,50,12,false,,50,0
transient-empty,empty-payload-guard,50,12,true,,50,0
transient-empty,without-empty-guard,50,12,false,,0,0
stable-identity,full-protocol,50,13,true,1,50,0.10529999999999973
stable-identity,without-stable-id,50,13,false,0,50,0.11220000000000141
state-continuity,replace-all,50,13,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,13,true,1,50,0.09770000000000323
message-order,sequence-guard,50,13,true,,50,0
message-order,without-sequence-guard,50,13,false,,50,0
transient-empty,empty-payload-guard,50,13,true,,50,0
transient-empty,without-empty-guard,50,13,false,,0,0
stable-identity,full-protocol,50,14,true,1,50,0.10139999999998395
stable-identity,without-stable-id,50,14,false,0,50,0.137800000000027
state-continuity,replace-all,50,14,false,0,50,0.004099999999993997
state-continuity,state-preserving-merge,50,14,true,1,50,0.11509999999998399
message-order,sequence-guard,50,14,true,,50,0
message-order,without-sequence-guard,50,14,false,,50,0
transient-empty,empty-payload-guard,50,14,true,,50,0
transient-empty,without-empty-guard,50,14,false,,0,0
stable-identity,full-protocol,50,15,true,1,50,0.12810000000001764
stable-identity,without-stable-id,50,15,false,0,50,0.1488999999999976
state-continuity,replace-all,50,15,false,0,50,0.0021999999999877673
state-continuity,state-preserving-merge,50,15,true,1,50,0.11899999999999977
message-order,sequence-guard,50,15,true,,50,0
message-order,without-sequence-guard,50,15,false,,50,0
transient-empty,empty-payload-guard,50,15,true,,50,0
transient-empty,without-empty-guard,50,15,false,,0,0
stable-identity,full-protocol,50,16,true,1,50,0.11820000000000164
stable-identity,without-stable-id,50,16,false,0,50,0.13649999999998386
state-continuity,replace-all,50,16,false,0,50,0.0027000000000043656
state-continuity,state-preserving-merge,50,16,true,1,50,0.15279999999998495
message-order,sequence-guard,50,16,true,,50,0
message-order,without-sequence-guard,50,16,false,,50,0
transient-empty,empty-payload-guard,50,16,true,,50,0
transient-empty,without-empty-guard,50,16,false,,0,0
stable-identity,full-protocol,50,17,true,1,50,0.1255999999999915
stable-identity,without-stable-id,50,17,false,0,50,0.14470000000000027
state-continuity,replace-all,50,17,false,0,50,0.005099999999998772
state-continuity,state-preserving-merge,50,17,true,1,50,0.12069999999999936
message-order,sequence-guard,50,17,true,,50,0
message-order,without-sequence-guard,50,17,false,,50,0
transient-empty,empty-payload-guard,50,17,true,,50,0
transient-empty,without-empty-guard,50,17,false,,0,0
stable-identity,full-protocol,50,18,true,1,50,0.14280000000002246
stable-identity,without-stable-id,50,18,false,0,50,0.11369999999999436
state-continuity,replace-all,50,18,false,0,50,0.0020000000000095497
state-continuity,state-preserving-merge,50,18,true,1,50,0.09700000000000841
message-order,sequence-guard,50,18,true,,50,0
message-order,without-sequence-guard,50,18,false,,50,0
transient-empty,empty-payload-guard,50,18,true,,50,0
transient-empty,without-empty-guard,50,18,false,,0,0
stable-identity,full-protocol,50,19,true,1,50,0.10020000000000095
stable-identity,without-stable-id,50,19,false,0,50,0.10429999999999495
state-continuity,replace-all,50,19,false,0,50,0.00190000000000623
state-continuity,state-preserving-merge,50,19,true,1,50,0.09560000000001878
message-order,sequence-guard,50,19,true,,50,0
message-order,without-sequence-guard,50,19,false,,50,0
transient-empty,empty-payload-guard,50,19,true,,50,0
transient-empty,without-empty-guard,50,19,false,,0,0
stable-identity,full-protocol,50,20,true,1,50,0.11869999999998981
stable-identity,without-stable-id,50,20,false,0,50,0.11239999999997963
state-continuity,replace-all,50,20,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,20,true,1,50,0.0963000000000136
message-order,sequence-guard,50,20,true,,50,0
message-order,without-sequence-guard,50,20,false,,50,0
transient-empty,empty-payload-guard,50,20,true,,50,0
transient-empty,without-empty-guard,50,20,false,,0,0
stable-identity,full-protocol,50,21,true,1,50,0.09919999999999618
stable-identity,without-stable-id,50,21,false,0,50,0.10389999999998167
state-continuity,replace-all,50,21,false,0,50,0.001999999999981128
state-continuity,state-preserving-merge,50,21,true,1,50,0.0969000000000051
message-order,sequence-guard,50,21,true,,50,0
message-order,without-sequence-guard,50,21,false,,50,0
transient-empty,empty-payload-guard,50,21,true,,50,0
transient-empty,without-empty-guard,50,21,false,,0,0
stable-identity,full-protocol,50,22,true,1,50,0.11400000000000432
stable-identity,without-stable-id,50,22,false,0,50,0.11119999999999663
state-continuity,replace-all,50,22,false,0,50,0.0014999999999929514
state-continuity,state-preserving-merge,50,22,true,1,50,0.09700000000000841
message-order,sequence-guard,50,22,true,,50,0
message-order,without-sequence-guard,50,22,false,,50,0
transient-empty,empty-payload-guard,50,22,true,,50,0
transient-empty,without-empty-guard,50,22,false,,0,0
stable-identity,full-protocol,50,23,true,1,50,0.09909999999999286
stable-identity,without-stable-id,50,23,false,0,50,0.10249999999999204
state-continuity,replace-all,50,23,false,0,50,0.0013000000000147338
state-continuity,state-preserving-merge,50,23,true,1,50,0.09629999999998518
message-order,sequence-guard,50,23,true,,50,0
message-order,without-sequence-guard,50,23,false,,50,0
transient-empty,empty-payload-guard,50,23,true,,50,0
transient-empty,without-empty-guard,50,23,false,,0,0
stable-identity,full-protocol,50,24,true,1,50,0.11620000000002051
stable-identity,without-stable-id,50,24,false,0,50,0.11260000000001469
state-continuity,replace-all,50,24,false,0,50,0.0018000000000029104
state-continuity,state-preserving-merge,50,24,true,1,50,0.09739999999999327
message-order,sequence-guard,50,24,true,,50,0
message-order,without-sequence-guard,50,24,false,,50,0
transient-empty,empty-payload-guard,50,24,true,,50,0
transient-empty,without-empty-guard,50,24,false,,0,0
stable-identity,full-protocol,50,25,true,1,50,0.10409999999998831
stable-identity,without-stable-id,50,25,false,0,50,0.1016999999999939
state-continuity,replace-all,50,25,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,25,true,1,50,0.3856000000000108
message-order,sequence-guard,50,25,true,,50,0
message-order,without-sequence-guard,50,25,false,,50,0
transient-empty,empty-payload-guard,50,25,true,,50,0
transient-empty,without-empty-guard,50,25,false,,0,0
stable-identity,full-protocol,50,26,true,1,50,0.2109999999999843
stable-identity,without-stable-id,50,26,false,0,50,0.11549999999999727
state-continuity,replace-all,50,26,false,0,50,0.0034999999999740794
state-continuity,state-preserving-merge,50,26,true,1,50,0.11340000000001282
message-order,sequence-guard,50,26,true,,50,0
message-order,without-sequence-guard,50,26,false,,50,0
transient-empty,empty-payload-guard,50,26,true,,50,0
transient-empty,without-empty-guard,50,26,false,,0,0
stable-identity,full-protocol,50,27,true,1,50,0.10179999999999723
stable-identity,without-stable-id,50,27,false,0,50,0.10430000000002337
state-continuity,replace-all,50,27,false,0,50,0.0014000000000180535
state-continuity,state-preserving-merge,50,27,true,1,50,0.09710000000001173
message-order,sequence-guard,50,27,true,,50,0
message-order,without-sequence-guard,50,27,false,,50,0
transient-empty,empty-payload-guard,50,27,true,,50,0
transient-empty,without-empty-guard,50,27,false,,0,0
stable-identity,full-protocol,50,28,true,1,50,0.09960000000000946
stable-identity,without-stable-id,50,28,false,0,50,0.12990000000002055
state-continuity,replace-all,50,28,false,0,50,0.002699999999975944
state-continuity,state-preserving-merge,50,28,true,1,50,0.10549999999997794
message-order,sequence-guard,50,28,true,,50,0
message-order,without-sequence-guard,50,28,false,,50,0
transient-empty,empty-payload-guard,50,28,true,,50,0
transient-empty,without-empty-guard,50,28,false,,0,0
stable-identity,full-protocol,50,29,true,1,50,0.11220000000000141
stable-identity,without-stable-id,50,29,false,0,50,0.10840000000001737
