scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
stable-identity,full-protocol,50,1,true,1,50,0.806999999999988
stable-identity,without-stable-id,50,1,false,0,50,0.24330000000000496
state-continuity,replace-all,50,1,false,0,50,0.006699999999995043
state-continuity,state-preserving-merge,50,1,true,1,50,0.17619999999999436
message-order,sequence-guard,50,1,true,,50,0
message-order,without-sequence-guard,50,1,false,,50,0
transient-empty,empty-payload-guard,50,1,true,,50,0
transient-empty,without-empty-guard,50,1,false,,0,0
stable-identity,full-protocol,50,2,true,1,50,0.1775000000000091
stable-identity,without-stable-id,50,2,false,0,50,0.4971999999999923
state-continuity,replace-all,50,2,false,0,50,0.004099999999993997
state-continuity,state-preserving-merge,50,2,true,1,50,0.1349999999999909
message-order,sequence-guard,50,2,true,,50,0
message-order,without-sequence-guard,50,2,false,,50,0
transient-empty,empty-payload-guard,50,2,true,,50,0
transient-empty,without-empty-guard,50,2,false,,0,0
stable-identity,full-protocol,50,3,true,1,50,0.15730000000002065
stable-identity,without-stable-id,50,3,false,0,50,0.35660000000001446
state-continuity,replace-all,50,3,false,0,50,0.007699999999999818
state-continuity,state-preserving-merge,50,3,true,1,50,0.28700000000000614
message-order,sequence-guard,50,3,true,,50,0
message-order,without-sequence-guard,50,3,false,,50,0
transient-empty,empty-payload-guard,50,3,true,,50,0
transient-empty,without-empty-guard,50,3,false,,0,0
stable-identity,full-protocol,50,4,true,1,50,0.2755999999999972
stable-identity,without-stable-id,50,4,false,0,50,0.16679999999999495
state-continuity,replace-all,50,4,false,0,50,0.002899999999982583
state-continuity,state-preserving-merge,50,4,true,1,50,0.12249999999997385
message-order,sequence-guard,50,4,true,,50,0
message-order,without-sequence-guard,50,4,false,,50,0
transient-empty,empty-payload-guard,50,4,true,,50,0
transient-empty,without-empty-guard,50,4,false,,0,0
stable-identity,full-protocol,50,5,true,1,50,0.11879999999999313
stable-identity,without-stable-id,50,5,false,0,50,0.12869999999998072
state-continuity,replace-all,50,5,false,0,50,0.0027000000000043656
state-continuity,state-preserving-merge,50,5,true,1,50,0.12530000000000996
message-order,sequence-guard,50,5,true,,50,0
message-order,without-sequence-guard,50,5,false,,50,0
transient-empty,empty-payload-guard,50,5,true,,50,0
transient-empty,without-empty-guard,50,5,false,,0,0
stable-identity,full-protocol,50,6,true,1,50,0.18799999999998818
stable-identity,without-stable-id,50,6,false,0,50,0.14269999999999072
state-continuity,replace-all,50,6,false,0,50,0.00919999999999277
state-continuity,state-preserving-merge,50,6,true,1,50,0.12709999999998445
message-order,sequence-guard,50,6,true,,50,0
message-order,without-sequence-guard,50,6,false,,50,0
transient-empty,empty-payload-guard,50,6,true,,50,0
transient-empty,without-empty-guard,50,6,false,,0,0
stable-identity,full-protocol,50,7,true,1,50,0.12309999999999377
stable-identity,without-stable-id,50,7,false,0,50,0.14000000000001478
state-continuity,replace-all,50,7,false,0,50,0.006000000000000227
state-continuity,state-preserving-merge,50,7,true,1,50,0.1268000000000029
message-order,sequence-guard,50,7,true,,50,0
message-order,without-sequence-guard,50,7,false,,50,0
transient-empty,empty-payload-guard,50,7,true,,50,0
transient-empty,without-empty-guard,50,7,false,,0,0
stable-identity,full-protocol,50,8,true,1,50,0.16610000000000014
stable-identity,without-stable-id,50,8,false,0,50,0.14470000000000027
state-continuity,replace-all,50,8,false,0,50,0.0018999999999778083
state-continuity,state-preserving-merge,50,8,true,1,50,0.12959999999998217
message-order,sequence-guard,50,8,true,,50,0
message-order,without-sequence-guard,50,8,false,,50,0
transient-empty,empty-payload-guard,50,8,true,,50,0
transient-empty,without-empty-guard,50,8,false,,0,0
stable-identity,full-protocol,50,9,true,1,50,0.12319999999999709
stable-identity,without-stable-id,50,9,false,0,50,0.13649999999998386
state-continuity,replace-all,50,9,false,0,50,0.0021000000000128694
state-continuity,state-preserving-merge,50,9,true,1,50,0.28239999999999554
message-order,sequence-guard,50,9,true,,50,0
message-order,without-sequence-guard,50,9,false,,50,0
transient-empty,empty-payload-guard,50,9,true,,50,0
transient-empty,without-empty-guard,50,9,false,,0,0
stable-identity,full-protocol,50,10,true,1,50,0.15510000000000446
stable-identity,without-stable-id,50,10,false,0,50,0.10620000000000118
state-continuity,replace-all,50,10,false,0,50,0.0014999999999929514
state-continuity,state-preserving-merge,50,10,true,1,50,0.09689999999997667
message-order,sequence-guard,50,10,true,,50,0
message-order,without-sequence-guard,50,10,false,,50,0
transient-empty,empty-payload-guard,50,10,true,,50,0
transient-empty,without-empty-guard,50,10,false,,0,0
stable-identity,full-protocol,50,11,true,1,50,0.11400000000000432
stable-identity,without-stable-id,50,11,false,0,50,0.10670000000001778
state-continuity,replace-all,50,11,false,0,50,0.0030999999999892225
state-continuity,state-preserving-merge,50,11,true,1,50,0.10949999999999704
message-order,sequence-guard,50,11,true,,50,0
message-order,without-sequence-guard,50,11,false,,50,0
transient-empty,empty-payload-guard,50,11,true,,50,0
transient-empty,without-empty-guard,50,11,false,,0,0
stable-identity,full-protocol,50,12,true,1,50,0.10039999999997917
stable-identity,without-stable-id,50,12,false,0,50,0.1074000000000126
state-continuity,replace-all,50,12,false,0,50,0.0011999999999829924
state-continuity,state-preserving-merge,50,12,true,1,50,0.09459999999998558
message-order,sequence-guard,50,12,true,,50,0
message-order,without-sequence-guard,50,12,false,,50,0
transient-empty,empty-payload-guard,50,12,true,,50,0
transient-empty,without-empty-guard,50,12,false,,0,0
stable-identity,full-protocol,50,13,true,1,50,0.09790000000000987
stable-identity,without-stable-id,50,13,false,0,50,0.12949999999997885
state-continuity,replace-all,50,13,false,0,50,0.0023000000000195087
state-continuity,state-preserving-merge,50,13,true,1,50,0.11809999999999832
message-order,sequence-guard,50,13,true,,50,0
message-order,without-sequence-guard,50,13,false,,50,0
transient-empty,empty-payload-guard,50,13,true,,50,0
transient-empty,without-empty-guard,50,13,false,,0,0
stable-identity,full-protocol,50,14,true,1,50,0.11469999999999914
stable-identity,without-stable-id,50,14,false,0,50,0.12700000000000955
state-continuity,replace-all,50,14,false,0,50,0.004500000000007276
state-continuity,state-preserving-merge,50,14,true,1,50,0.1599000000000217
message-order,sequence-guard,50,14,true,,50,0
message-order,without-sequence-guard,50,14,false,,50,0
transient-empty,empty-payload-guard,50,14,true,,50,0
transient-empty,without-empty-guard,50,14,false,,0,0
stable-identity,full-protocol,50,15,true,1,50,0.15919999999999845
stable-identity,without-stable-id,50,15,false,0,50,0.17590000000001282
state-continuity,replace-all,50,15,false,0,50,0.0069000000000016826
state-continuity,state-preserving-merge,50,15,true,1,50,0.1337000000000046
message-order,sequence-guard,50,15,true,,50,0
message-order,without-sequence-guard,50,15,false,,50,0
transient-empty,empty-payload-guard,50,15,true,,50,0
transient-empty,without-empty-guard,50,15,false,,0,0
stable-identity,full-protocol,50,16,true,1,50,0.11459999999999582
stable-identity,without-stable-id,50,16,false,0,50,0.13239999999998986
state-continuity,replace-all,50,16,false,0,50,0.0024999999999977263
state-continuity,state-preserving-merge,50,16,true,1,50,0.15569999999999595
message-order,sequence-guard,50,16,true,,50,0
message-order,without-sequence-guard,50,16,false,,50,0
transient-empty,empty-payload-guard,50,16,true,,50,0
transient-empty,without-empty-guard,50,16,false,,0,0
stable-identity,full-protocol,50,17,true,1,50,0.2560999999999751
stable-identity,without-stable-id,50,17,false,0,50,0.11099999999999
state-continuity,replace-all,50,17,false,0,50,0.0024000000000228283
state-continuity,state-preserving-merge,50,17,true,1,50,0.13340000000002306
message-order,sequence-guard,50,17,true,,50,0
message-order,without-sequence-guard,50,17,false,,50,0
transient-empty,empty-payload-guard,50,17,true,,50,0
transient-empty,without-empty-guard,50,17,false,,0,0
stable-identity,full-protocol,50,18,true,1,50,0.198599999999999
stable-identity,without-stable-id,50,18,false,0,50,0.113900000000001
state-continuity,replace-all,50,18,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,18,true,1,50,0.09749999999999659
message-order,sequence-guard,50,18,true,,50,0
message-order,without-sequence-guard,50,18,false,,50,0
transient-empty,empty-payload-guard,50,18,true,,50,0
transient-empty,without-empty-guard,50,18,false,,0,0
stable-identity,full-protocol,50,19,true,1,50,0.17600000000001614
stable-identity,without-stable-id,50,19,false,0,50,0.10649999999998272
state-continuity,replace-all,50,19,false,0,50,0.0012000000000114142
state-continuity,state-preserving-merge,50,19,true,1,50,0.0969000000000051
message-order,sequence-guard,50,19,true,,50,0
message-order,without-sequence-guard,50,19,false,,50,0
transient-empty,empty-payload-guard,50,19,true,,50,0
transient-empty,without-empty-guard,50,19,false,,0,0
stable-identity,full-protocol,50,20,true,1,50,0.11270000000001801
stable-identity,without-stable-id,50,20,false,0,50,0.11060000000000514
state-continuity,replace-all,50,20,false,0,50,0.0011999999999829924
state-continuity,state-preserving-merge,50,20,true,1,50,0.09800000000001319
message-order,sequence-guard,50,20,true,,50,0
message-order,without-sequence-guard,50,20,false,,50,0
transient-empty,empty-payload-guard,50,20,true,,50,0
transient-empty,without-empty-guard,50,20,false,,0,0
stable-identity,full-protocol,50,21,true,1,50,0.11149999999997817
stable-identity,without-stable-id,50,21,false,0,50,0.14349999999998886
state-continuity,replace-all,50,21,false,0,50,0.0023999999999944066
state-continuity,state-preserving-merge,50,21,true,1,50,0.180499999999995
message-order,sequence-guard,50,21,true,,50,0
message-order,without-sequence-guard,50,21,false,,50,0
transient-empty,empty-payload-guard,50,21,true,,50,0
transient-empty,without-empty-guard,50,21,false,,0,0
stable-identity,full-protocol,50,22,true,1,50,0.0992999999999995
stable-identity,without-stable-id,50,22,false,0,50,0.1016999999999939
state-continuity,replace-all,50,22,false,0,50,0.0012000000000114142
state-continuity,state-preserving-merge,50,22,true,1,50,0.09410000000002583
message-order,sequence-guard,50,22,true,,50,0
message-order,without-sequence-guard,50,22,false,,50,0
transient-empty,empty-payload-guard,50,22,true,,50,0
transient-empty,without-empty-guard,50,22,false,,0,0
stable-identity,full-protocol,50,23,true,1,50,0.10409999999998831
stable-identity,without-stable-id,50,23,false,0,50,0.10869999999999891
state-continuity,replace-all,50,23,false,0,50,0.00190000000000623
state-continuity,state-preserving-merge,50,23,true,1,50,0.09890000000001464
message-order,sequence-guard,50,23,true,,50,0
message-order,without-sequence-guard,50,23,false,,50,0
transient-empty,empty-payload-guard,50,23,true,,50,0
transient-empty,without-empty-guard,50,23,false,,0,0
stable-identity,full-protocol,50,24,true,1,50,0.1033000000000186
stable-identity,without-stable-id,50,24,false,0,50,0.24289999999999168
state-continuity,replace-all,50,24,false,0,50,0.0021000000000128694
state-continuity,state-preserving-merge,50,24,true,1,50,0.11520000000001573
message-order,sequence-guard,50,24,true,,50,0
message-order,without-sequence-guard,50,24,false,,50,0
transient-empty,empty-payload-guard,50,24,true,,50,0
transient-empty,without-empty-guard,50,24,false,,0,0
stable-identity,full-protocol,50,25,true,1,50,0.1033999999999935
stable-identity,without-stable-id,50,25,false,0,50,0.11060000000000514
state-continuity,replace-all,50,25,false,0,50,0.0012000000000114142
state-continuity,state-preserving-merge,50,25,true,1,50,0.09960000000000946
message-order,sequence-guard,50,25,true,,50,0
message-order,without-sequence-guard,50,25,false,,50,0
transient-empty,empty-payload-guard,50,25,true,,50,0
transient-empty,without-empty-guard,50,25,false,,0,0
stable-identity,full-protocol,50,26,true,1,50,0.10219999999998208
stable-identity,without-stable-id,50,26,false,0,50,0.10869999999999891
state-continuity,replace-all,50,26,false,0,50,0.0014999999999929514
state-continuity,state-preserving-merge,50,26,true,1,50,0.12430000000000518
message-order,sequence-guard,50,26,true,,50,0
message-order,without-sequence-guard,50,26,false,,50,0
transient-empty,empty-payload-guard,50,26,true,,50,0
transient-empty,without-empty-guard,50,26,false,,0,0
stable-identity,full-protocol,50,27,true,1,50,0.11070000000000846
stable-identity,without-stable-id,50,27,false,0,50,0.11409999999997922
state-continuity,replace-all,50,27,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,27,true,1,50,0.14359999999999218
message-order,sequence-guard,50,27,true,,50,0
message-order,without-sequence-guard,50,27,false,,50,0
transient-empty,empty-payload-guard,50,27,true,,50,0
transient-empty,without-empty-guard,50,27,false,,0,0
stable-identity,full-protocol,50,28,true,1,50,0.14979999999999905
stable-identity,without-stable-id,50,28,false,0,50,0.16669999999999163
state-continuity,replace-all,50,28,false,0,50,0.002200000000016189
state-continuity,state-preserving-merge,50,28,true,1,50,0.16730000000001155
message-order,sequence-guard,50,28,true,,50,0
message-order,without-sequence-guard,50,28,false,,50,0
transient-empty,empty-payload-guard,50,28,true,,50,0
transient-empty,without-empty-guard,50,28,false,,0,0
stable-identity,full-protocol,50,29,true,1,50,0.1786000000000172
stable-identity,without-stable-id,50,29,false,0,50,0.16549999999998022
state-continuity,replace-all,50,29,false,0,50,0.0023999999999944066
state-continuity,state-preserving-merge,50,29,true,1,50,0.18319999999999936
message-order,sequence-guard,50,29,true,,50,0
message-order,without-sequence-guard,50,29,false,,50,0
transient-empty,empty-payload-guard,50,29,true,,50,0
transient-empty,without-empty-guard,50,29,false,,0,0
stable-identity,full-protocol,50,30,true,1,50,0.1706999999999823
stable-identity,without-stable-id,50,30,false,0,50,0.17070000000001073
state-continuity,replace-all,50,30,false,0,50,0.0023000000000195087
state-continuity,state-preserving-merge,50,30,true,1,50,0.15989999999999327
message-order,sequence-guard,50,30,true,,50,0
message-order,without-sequence-guard,50,30,false,,50,0
transient-empty,empty-payload-guard,50,30,true,,50,0
transient-empty,without-empty-guard,50,30,false,,0,0
stable-identity,full-protocol,50,31,true,1,50,0.16790000000000305
stable-identity,without-stable-id,50,31,false,0,50,0.16610000000000014
state-continuity,replace-all,50,31,false,0,50,0.002600000000001046
state-continuity,state-preserving-merge,50,31,true,1,50,0.16149999999998954
message-order,sequence-guard,50,31,true,,50,0
message-order,without-sequence-guard,50,31,false,,50,0
transient-empty,empty-payload-guard,50,31,true,,50,0
transient-empty,without-empty-guard,50,31,false,,0,0
stable-identity,full-protocol,50,32,true,1,50,0.31460000000001287
stable-identity,without-stable-id,50,32,false,0,50,0.17199999999999704
