scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
stable-identity,full-protocol,50,1,true,1,50,0.5874999999999773
stable-identity,without-stable-id,50,1,false,0,50,0.23969999999999914
state-continuity,replace-all,50,1,false,0,50,0.006200000000006867
state-continuity,state-preserving-merge,50,1,true,1,50,0.1529000000000167
message-order,sequence-guard,50,1,true,,50,0
message-order,without-sequence-guard,50,1,false,,50,0
transient-empty,empty-payload-guard,50,1,true,,50,0
transient-empty,without-empty-guard,50,1,false,,0,0
stable-identity,full-protocol,50,2,true,1,50,0.15860000000000696
stable-identity,without-stable-id,50,2,false,0,50,0.1816000000000031
state-continuity,replace-all,50,2,false,0,50,0.004300000000000637
state-continuity,state-preserving-merge,50,2,true,1,50,0.15789999999998372
message-order,sequence-guard,50,2,true,,50,0
message-order,without-sequence-guard,50,2,false,,50,0
transient-empty,empty-payload-guard,50,2,true,,50,0
transient-empty,without-empty-guard,50,2,false,,0,0
stable-identity,full-protocol,50,3,true,1,50,0.7102000000000146
stable-identity,without-stable-id,50,3,false,0,50,0.15510000000000446
state-continuity,replace-all,50,3,false,0,50,0.0037999999999840384
state-continuity,state-preserving-merge,50,3,true,1,50,0.14359999999999218
message-order,sequence-guard,50,3,true,,50,0
message-order,without-sequence-guard,50,3,false,,50,0
transient-empty,empty-payload-guard,50,3,true,,50,0
transient-empty,without-empty-guard,50,3,false,,0,0
stable-identity,full-protocol,50,4,true,1,50,0.13929999999999154
stable-identity,without-stable-id,50,4,false,0,50,0.1617999999999995
state-continuity,replace-all,50,4,false,0,50,0.003500000000002501
state-continuity,state-preserving-merge,50,4,true,1,50,0.14659999999997808
message-order,sequence-guard,50,4,true,,50,0
message-order,without-sequence-guard,50,4,false,,50,0
transient-empty,empty-payload-guard,50,4,true,,50,0
transient-empty,without-empty-guard,50,4,false,,0,0
stable-identity,full-protocol,50,5,true,1,50,0.133199999999988
stable-identity,without-stable-id,50,5,false,0,50,0.12439999999998008
state-continuity,replace-all,50,5,false,0,50,0.003200000000020964
state-continuity,state-preserving-merge,50,5,true,1,50,0.117999999999995
message-order,sequence-guard,50,5,true,,50,0
message-order,without-sequence-guard,50,5,false,,50,0
transient-empty,empty-payload-guard,50,5,true,,50,0
transient-empty,without-empty-guard,50,5,false,,0,0
