browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
chromium,149.0.7827.55,50,1,warmup,pass,50,50,0,true,50,2.2999999970197678,57.600000001490116,63,715,,
chromium,149.0.7827.55,50,1,measurement,pass,50,50,0,true,50,1.5,49.100000001490116,53,424,,
chromium,149.0.7827.55,50,2,measurement,pass,50,50,0,true,50,1.300000000745058,54,58,412,,
chromium,149.0.7827.55,50,3,measurement,pass,50,50,0,true,50,1.5,48,53,414,,
chromium,149.0.7827.55,50,4,measurement,pass,50,50,0,true,50,1.699999999254942,51.100000001490116,55,402,,
chromium,149.0.7827.55,50,5,measurement,pass,50,50,0,true,50,1.300000000745058,54.69999999925494,59,437,,
chromium,149.0.7827.55,50,6,measurement,pass,50,50,0,true,50,1.300000000745058,56.099999997764826,60,439,,
chromium,149.0.7827.55,50,7,measurement,pass,50,50,0,true,50,1.800000000745058,53.5,58,438,,
chromium,149.0.7827.55,50,8,measurement,pass,50,50,0,true,50,1.300000000745058,52.599999997764826,55,435,,
chromium,149.0.7827.55,50,9,measurement,pass,50,50,0,true,50,1.300000000745058,46.69999999925494,50,405,,
chromium,149.0.7827.55,50,10,measurement,pass,50,50,0,true,50,1.6000000014901161,61.399999998509884,66,442,,
chromium,149.0.7827.55,50,11,measurement,pass,50,50,0,true,50,1.300000000745058,50,53,456,,
chromium,149.0.7827.55,50,12,measurement,pass,50,50,0,true,50,1.199999999254942,59.899999998509884,64,438,,
chromium,149.0.7827.55,50,13,measurement,pass,50,50,0,true,50,1.6000000014901161,55.399999998509884,61,445,,
chromium,149.0.7827.55,50,14,measurement,pass,50,50,0,true,50,1.3999999985098839,44.5,54,401,,
chromium,149.0.7827.55,50,15,measurement,pass,50,50,0,true,50,1.2999999970197678,46.600000001490116,50,415,,
chromium,149.0.7827.55,50,16,measurement,pass,50,50,0,true,50,1.1000000014901161,52.599999997764826,57,445,,
chromium,149.0.7827.55,50,17,measurement,pass,50,50,0,true,50,1.199999999254942,50.600000001490116,54,444,,
chromium,149.0.7827.55,50,18,measurement,pass,50,50,0,true,50,1.2999999970197678,49,54,459,,
chromium,149.0.7827.55,50,19,measurement,pass,50,50,0,true,50,1.800000000745058,53.69999999925494,58,479,,
chromium,149.0.7827.55,50,20,measurement,pass,50,50,0,true,50,1.3999999985098839,59.5,64,448,,
chromium,149.0.7827.55,50,21,measurement,pass,50,50,0,true,50,2,59.900000002235174,64,478,,
chromium,149.0.7827.55,50,22,measurement,pass,50,50,0,true,50,1.7000000029802322,55.79999999701977,61,481,,
chromium,149.0.7827.55,50,23,measurement,pass,50,50,0,true,50,1.7000000029802322,59.19999999925494,64,467,,
chromium,149.0.7827.55,50,24,measurement,pass,50,50,0,true,50,1.8999999985098839,60,65,458,,
