browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,exact_public_fields,public_field_mismatch_count,public_field_mismatch_examples,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
chromium,149.0.7827.55,50,1,warmup,pass,50,50,0,true,true,0,[],50,1.300000000745058,44.599999997764826,48,427,,
chromium,149.0.7827.55,50,1,measurement,pass,50,50,0,true,true,0,[],50,1.300000000745058,46.5,50,424,,
chromium,149.0.7827.55,50,2,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,48.80000000074506,53,412,,
chromium,149.0.7827.55,50,3,measurement,pass,50,50,0,true,true,0,[],50,1.4000000022351742,51.79999999701977,55,446,,
chromium,149.0.7827.55,50,4,measurement,pass,50,50,0,true,true,0,[],50,1.3999999985098839,52.100000001490116,56,449,,
chromium,149.0.7827.55,50,5,measurement,pass,50,50,0,true,true,0,[],50,1.7000000029802322,61.19999999925494,66,472,,
chromium,149.0.7827.55,50,6,measurement,pass,50,50,0,true,true,0,[],50,1.800000000745058,51.099999997764826,55,446,,
chromium,149.0.7827.55,50,7,measurement,pass,50,50,0,true,true,0,[],50,1.300000000745058,49.30000000074506,53,417,,
chromium,149.0.7827.55,50,8,measurement,pass,50,50,0,true,true,0,[],50,1.5,51.30000000074506,56,401,,
chromium,149.0.7827.55,50,9,measurement,pass,50,50,0,true,true,0,[],50,1.6000000014901161,46.19999999925494,51,406,,
chromium,149.0.7827.55,50,10,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,45.899999998509884,50,392,,
chromium,149.0.7827.55,50,11,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,49.100000001490116,53,429,,
chromium,149.0.7827.55,50,12,measurement,pass,50,50,0,true,true,0,[],50,1.4000000022351742,58,61,409,,
chromium,149.0.7827.55,50,13,measurement,pass,50,50,0,true,true,0,[],50,1.5999999977648258,51.30000000074506,56,436,,
chromium,149.0.7827.55,50,14,measurement,pass,50,50,0,true,true,0,[],50,1.800000000745058,52,57,433,,
chromium,149.0.7827.55,50,15,measurement,pass,50,50,0,true,true,0,[],50,1.5999999977648258,58,62,423,,
chromium,149.0.7827.55,50,16,measurement,pass,50,50,0,true,true,0,[],50,1.5,50.80000000074506,55,434,,
chromium,149.0.7827.55,50,17,measurement,pass,50,50,0,true,true,0,[],50,1.5999999977648258,55.80000000074506,59,429,,
chromium,149.0.7827.55,50,18,measurement,pass,50,50,0,true,true,0,[],50,1.6000000014901161,48.599999997764826,52,468,,
chromium,149.0.7827.55,50,19,measurement,pass,50,50,0,true,true,0,[],50,1.300000000745058,49.19999999925494,52,411,,
chromium,149.0.7827.55,50,20,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,48,51,425,,
chromium,149.0.7827.55,50,21,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,43,47,386,,
chromium,149.0.7827.55,50,22,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,48.099999997764826,51,388,,
chromium,149.0.7827.55,50,23,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,52,56,401,,
chromium,149.0.7827.55,50,24,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,55.5,59,441,,
chromium,149.0.7827.55,50,25,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,45.69999999925494,49,417,,
chromium,149.0.7827.55,50,26,measurement,pass,50,50,0,true,true,0,[],50,1.5,50.899999998509884,55,397,,
chromium,149.0.7827.55,50,27,measurement,pass,50,50,0,true,true,0,[],50,1.3999999985098839,49.30000000074506,52,413,,
chromium,149.0.7827.55,50,28,measurement,pass,50,50,0,true,true,0,[],50,1.1000000014901161,51.30000000074506,54,422,,
chromium,149.0.7827.55,50,29,measurement,pass,50,50,0,true,true,0,[],50,1.300000000745058,49.100000001490116,53,442,,
chromium,149.0.7827.55,50,30,measurement,pass,50,50,0,true,true,0,[],50,1.199999999254942,46.80000000074506,50,398,,
chromium,149.0.7827.55,200,1,warmup,pass,200,200,0,true,true,0,[],200,3,77,83,490,,
chromium,149.0.7827.55,200,1,measurement,pass,200,200,0,true,true,0,[],200,2.899999998509884,75.60000000149012,81,462,,
chromium,149.0.7827.55,200,2,measurement,pass,200,200,0,true,true,0,[],200,2.800000000745058,78.30000000074506,84,526,,
chromium,149.0.7827.55,200,3,measurement,pass,200,200,0,true,true,0,[],200,3,76,81,485,,
chromium,149.0.7827.55,200,4,measurement,pass,200,200,0,true,true,0,[],200,2.399999998509884,73.39999999850988,77,456,,
chromium,149.0.7827.55,200,5,measurement,pass,200,200,0,true,true,0,[],200,3,69.69999999925494,75,466,,
chromium,149.0.7827.55,200,6,measurement,pass,200,200,0,true,true,0,[],200,2.5,70.70000000298023,76,447,,
