browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
chromium,149.0.7827.55,50,1,warmup,pass,50,50,0,true,50,1.2999999998137355,52.10000000009313,56,1632,,
chromium,149.0.7827.55,50,1,measurement,pass,50,50,0,true,50,1.3999999999068677,51.90000000037253,55,452,,
chromium,149.0.7827.55,50,2,measurement,pass,50,50,0,true,50,1.2999999998137355,48.8000000002794,53,412,,
chromium,149.0.7827.55,50,3,measurement,pass,50,50,0,true,50,1.2999999998137355,51.60000000009313,55,434,,
chromium,149.0.7827.55,50,4,measurement,pass,50,50,0,true,50,1.3999999999068677,51.200000000186265,55,411,,
chromium,149.0.7827.55,50,5,measurement,pass,50,50,0,true,50,1.1999999997206032,51,55,453,,
chromium,149.0.7827.55,50,6,measurement,pass,50,50,0,true,50,1.5,53.89999999990687,59,435,,
chromium,149.0.7827.55,50,7,measurement,pass,50,50,0,true,50,1.5,50.10000000009313,54,430,,
chromium,149.0.7827.55,50,8,measurement,pass,50,50,0,true,50,1.1000000000931323,50.39999999990687,53,406,,
chromium,149.0.7827.55,50,9,measurement,pass,50,50,0,true,50,1.2999999998137355,47.5,52,419,,
chromium,149.0.7827.55,50,10,measurement,pass,50,50,0,true,50,1.2000000001862645,46.5,50,429,,
chromium,149.0.7827.55,50,11,measurement,pass,50,50,0,true,50,1.2000000001862645,52.10000000009313,56,441,,
chromium,149.0.7827.55,50,12,measurement,pass,50,50,0,true,50,1.3000000002793968,50.5,54,414,,
chromium,149.0.7827.55,50,13,measurement,pass,50,50,0,true,50,2,51.10000000009313,55,427,,
chromium,149.0.7827.55,50,14,measurement,pass,50,50,0,true,50,1.2000000001862645,49,52,414,,
chromium,149.0.7827.55,50,15,measurement,pass,50,50,0,true,50,1.3000000002793968,51.09999999962747,54,439,,
chromium,149.0.7827.55,50,16,measurement,pass,50,50,0,true,50,1.3999999999068677,50.8000000002794,54,448,,
chromium,149.0.7827.55,50,17,measurement,pass,50,50,0,true,50,1.6000000000931323,51.09999999962747,55,417,,
chromium,149.0.7827.55,50,18,measurement,pass,50,50,0,true,50,1.2000000001862645,52.89999999990687,56,428,,
chromium,149.0.7827.55,50,19,measurement,pass,50,50,0,true,50,2,48.700000000186265,54,416,,
chromium,149.0.7827.55,50,20,measurement,pass,50,50,0,true,50,1.2999999998137355,50.700000000186265,55,430,,
chromium,149.0.7827.55,50,21,measurement,pass,50,50,0,true,50,1.2000000001862645,48.60000000009313,52,419,,
chromium,149.0.7827.55,50,22,measurement,pass,50,50,0,true,50,1.5,51.5,55,411,,
chromium,149.0.7827.55,50,23,measurement,pass,50,50,0,true,50,1.5,51.200000000186265,55,416,,
chromium,149.0.7827.55,50,24,measurement,pass,50,50,0,true,50,1.1999999997206032,52.8000000002794,57,432,,
chromium,149.0.7827.55,50,25,measurement,pass,50,50,0,true,50,1.1999999997206032,49.10000000009313,53,431,,
chromium,149.0.7827.55,50,26,measurement,pass,50,50,0,true,50,1.3000000002793968,50.5,54,433,,
chromium,149.0.7827.55,50,27,measurement,pass,50,50,0,true,50,1.5,52.39999999990687,57,420,,
chromium,149.0.7827.55,50,28,measurement,pass,50,50,0,true,50,1.3999999999068677,52.10000000009313,56,453,,
chromium,149.0.7827.55,50,29,measurement,pass,50,50,0,true,50,1.2999999998137355,44.89999999990687,53,416,,
chromium,149.0.7827.55,50,30,measurement,pass,50,50,0,true,50,1.2000000001862645,50.799999999813735,55,418,,
chromium,149.0.7827.55,200,1,warmup,pass,200,200,0,true,200,2.5,70.60000000009313,75,466,,
chromium,149.0.7827.55,200,1,measurement,pass,200,200,0,true,200,2.7000000001862645,80,85,500,,
chromium,149.0.7827.55,200,2,measurement,pass,200,200,0,true,200,2.8000000002793968,81,86,523,,
chromium,149.0.7827.55,200,3,measurement,pass,200,200,0,true,200,2.7000000001862645,76.89999999990687,82,502,,
chromium,149.0.7827.55,200,4,measurement,pass,200,200,0,true,200,2.599999999627471,76.40000000037253,82,473,,
chromium,149.0.7827.55,200,5,measurement,pass,200,200,0,true,200,2.900000000372529,74.3999999994412,80,488,,
chromium,149.0.7827.55,200,6,measurement,pass,200,200,0,true,200,2.599999999627471,78.5,83,481,,
chromium,149.0.7827.55,200,7,measurement,pass,200,200,0,true,200,2.7000000001862645,84.70000000018626,89,506,,
chromium,149.0.7827.55,200,8,measurement,pass,200,200,0,true,200,2.900000000372529,77.19999999925494,82,499,,
chromium,149.0.7827.55,200,9,measurement,pass,200,200,0,true,200,2.6000000005587935,76.3999999994412,82,485,,
chromium,149.0.7827.55,200,10,measurement,pass,200,200,0,true,200,3,80.09999999962747,85,522,,
chromium,149.0.7827.55,200,11,measurement,pass,200,200,0,true,200,3.2999999998137355,80.40000000037253,86,529,,
chromium,149.0.7827.55,200,12,measurement,pass,200,200,0,true,200,2.7000000001862645,80.59999999962747,86,495,,
chromium,149.0.7827.55,200,13,measurement,pass,200,200,0,true,200,2.599999999627471,80.40000000037253,86,522,,
chromium,149.0.7827.55,200,14,measurement,pass,200,200,0,true,200,2.5,75.8999999994412,80,484,,
chromium,149.0.7827.55,200,15,measurement,pass,200,200,0,true,200,2.599999999627471,77.20000000018626,82,491,,
chromium,149.0.7827.55,200,16,measurement,pass,200,200,0,true,200,2.800000000745058,74.5,79,465,,
chromium,149.0.7827.55,200,17,measurement,pass,200,200,0,true,200,2.599999999627471,72.6000000005588,77,484,,
chromium,149.0.7827.55,200,18,measurement,pass,200,200,0,true,200,2.699999999254942,75,80,493,,
chromium,149.0.7827.55,200,19,measurement,pass,200,200,0,true,200,2.5,78.90000000037253,84,512,,
chromium,149.0.7827.55,200,20,measurement,pass,200,200,0,true,200,2.8999999994412065,76,82,500,,
chromium,149.0.7827.55,200,21,measurement,pass,200,200,0,true,200,3,74.1000000005588,80,490,,
chromium,149.0.7827.55,200,22,measurement,pass,200,200,0,true,200,2.6000000005587935,73.5,78,491,,
chromium,149.0.7827.55,200,23,measurement,pass,200,200,0,true,200,2.7999999998137355,74.20000000018626,79,485,,
chromium,149.0.7827.55,200,24,measurement,pass,200,200,0,true,200,2.5,75.20000000018626,80,518,,
chromium,149.0.7827.55,200,25,measurement,pass,200,200,0,true,200,2.599999999627471,81.40000000037253,86,479,,
chromium,149.0.7827.55,200,26,measurement,pass,200,200,0,true,200,2.900000000372529,77.29999999981374,82,496,,
chromium,149.0.7827.55,200,27,measurement,pass,200,200,0,true,200,2.7000000001862645,75.29999999981374,80,510,,
chromium,149.0.7827.55,200,28,measurement,pass,200,200,0,true,200,3.2999999998137355,77.40000000037253,83,513,,
chromium,149.0.7827.55,200,29,measurement,pass,200,200,0,true,200,2.7000000001862645,73.79999999981374,79,468,,
chromium,149.0.7827.55,200,30,measurement,pass,200,200,0,true,200,2.6000000005587935,75,79,492,,
chromium,149.0.7827.55,500,1,warmup,pass,500,500,0,true,500,5.900000000372529,133.19999999925494,141,614,,
chromium,149.0.7827.55,500,1,measurement,pass,500,500,0,true,500,6.7000000001862645,126.29999999981374,136,598,,
chromium,149.0.7827.55,500,2,measurement,pass,500,500,0,true,500,5.6000000005587935,128.79999999981374,136,628,,
chromium,149.0.7827.55,500,3,measurement,pass,500,500,0,true,500,5.900000000372529,127.8999999994412,136,617,,
chromium,149.0.7827.55,500,4,measurement,pass,500,500,0,true,500,5.7000000001862645,120.3999999994412,128,604,,
chromium,149.0.7827.55,500,5,measurement,pass,500,500,0,true,500,6.400000000372529,127.79999999981374,137,633,,
chromium,149.0.7827.55,500,6,measurement,pass,500,500,0,true,500,6.2000000001862645,127.79999999981374,136,618,,
chromium,149.0.7827.55,500,7,measurement,pass,500,500,0,true,500,5.400000000372529,126.90000000037253,134,610,,
chromium,149.0.7827.55,500,8,measurement,pass,500,500,0,true,500,6.1000000005587935,126.19999999925494,134,631,,
chromium,149.0.7827.55,500,9,measurement,pass,500,500,0,true,500,6,122.70000000018626,131,615,,
chromium,149.0.7827.55,500,10,measurement,pass,500,500,0,true,500,6.2000000001862645,120.8999999994412,129,606,,
chromium,149.0.7827.55,500,11,measurement,pass,500,500,0,true,500,5.5,127.79999999981374,136,614,,
chromium,149.0.7827.55,500,12,measurement,pass,500,500,0,true,500,6,128.5,138,627,,
chromium,149.0.7827.55,500,13,measurement,pass,500,500,0,true,500,5.699999999254942,131.30000000074506,140,639,,
chromium,149.0.7827.55,500,14,measurement,pass,500,500,0,true,500,6.1000000005587935,129.59999999962747,138,626,,
chromium,149.0.7827.55,500,15,measurement,pass,500,500,0,true,500,7.7000000001862645,136.1000000005588,147,622,,
chromium,149.0.7827.55,500,16,measurement,pass,500,500,0,true,500,6.2999999998137355,129.20000000018626,138,631,,
