browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,exact_public_fields,public_field_mismatch_count,public_field_mismatch_examples,contract_o0_pass,contract_o1_pass,contract_o1k_pass,contract_o2_pass,contract_failure_codes,contract_check_ms,receiver_trace_phases,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
chromium,149.0.7827.55,50,1,warmup,pass,50,50,0,true,true,0,[],true,true,true,true,,8.336099999999988,message-received|commit-started|commit-succeeded|completion-success,50,1.2999999821186066,47.70000001788139,51,490,,
chromium,149.0.7827.55,50,1,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.1053999999999178,message-received|commit-started|commit-succeeded|completion-success,50,1,45.900000005960464,49,406,,
chromium,149.0.7827.55,50,2,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.2426000000000386,message-received|commit-started|commit-succeeded|completion-success,50,1.2000000178813934,45.19999998807907,49,400,,
chromium,149.0.7827.55,50,3,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,2.0070999999998094,message-received|commit-started|commit-succeeded|completion-success,50,1.2000000178813934,52.599999994039536,55,401,,
chromium,149.0.7827.55,50,4,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.2977000000000771,message-received|commit-started|commit-succeeded|completion-success,50,1.300000011920929,48.80000001192093,52,468,,
chromium,149.0.7827.55,50,5,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.3192000000008193,message-received|commit-started|commit-succeeded|completion-success,50,1.5,56,60,468,,
chromium,149.0.7827.55,50,6,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.3195000000005166,message-received|commit-started|commit-succeeded|completion-success,50,1.4000000059604645,59,63,478,,
chromium,149.0.7827.55,50,7,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.2010000000000218,message-received|commit-started|commit-succeeded|completion-success,50,1.199999988079071,50.400000005960464,55,441,,
chromium,149.0.7827.55,50,8,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.3476999999993495,message-received|commit-started|commit-succeeded|completion-success,50,1.199999988079071,44.20000001788139,47,413,,
chromium,149.0.7827.55,50,9,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.4625999999998385,message-received|commit-started|commit-succeeded|completion-success,50,1.0999999940395355,44.5,47,403,,
chromium,149.0.7827.55,50,10,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.5576000000000931,message-received|commit-started|commit-succeeded|completion-success,50,1.300000011920929,45.29999998211861,48,389,,
chromium,149.0.7827.55,200,1,warmup,pass,200,200,0,true,true,0,[],true,true,true,true,,4.374699999999393,message-received|commit-started|commit-succeeded|completion-success,200,3.100000023841858,81.69999998807907,87,550,,
chromium,149.0.7827.55,200,1,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.990200000000186,message-received|commit-started|commit-succeeded|completion-success,200,2.699999988079071,78.80000001192093,84,527,,
chromium,149.0.7827.55,200,2,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.22939999999835,message-received|commit-started|commit-succeeded|completion-success,200,2.4000000059604645,84.40000000596046,89,535,,
chromium,149.0.7827.55,200,3,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.04110000000037,message-received|commit-started|commit-succeeded|completion-success,200,3,78.59999999403954,84,536,,
chromium,149.0.7827.55,200,4,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,2.5377000000007683,message-received|commit-started|commit-succeeded|completion-success,200,2.7999999821186066,72.80000001192093,77,467,,
chromium,149.0.7827.55,200,5,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.176899999998568,message-received|commit-started|commit-succeeded|completion-success,200,2.699999988079071,68.40000000596046,73,440,,
chromium,149.0.7827.55,200,6,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.132499999999709,message-received|commit-started|commit-succeeded|completion-success,200,2.7999999821186066,83.90000000596046,89,507,,
